"Identifiant";"Dénomination complète";"Type voie";"Arrondissement";"Longueur voie"
"13664";"PLACE SAINT-PIERRE";"place";"18e";"166"
"10894";"RUE DE LA GARE DE REUILLY";"rue";"12e";"290"
"13179";"PASSAGE DE LA REINE DE HONGRIE";"passage";"01e";"45"
"13453";"RUE SIDI BRAHIM";"rue";"12e";"120"
"12375";"PONT MORLAND";"pont";"04e,12e";"50"
"9894";"RUE CLAUDE DEBUSSY";"rue";"17e";"120"
"9305";"PROMENADE BERNARD LAFAY";"promenade";"17e";"715"
"9159";"VILLA BALLU";"villa";"09e";"45"
"9350";"RUE BLANCHARD";"rue";"20e";"38"
"9218";"RUE BEATRIX DUSSANE";"rue";"15e";"105"
"9965";"RUE DU COLONEL DOMINE";"rue";"13e";"201"
"12222";"RUE MESSIER";"rue";"14e";"71"
"9481";"SQUARE DE LA BRESSE";"square";"16e";"37"
"9547";"AVENUE CAFFIERI";"avenue";"13e";"325"
"9572";"RUE CAMILLE DESMOULINS";"rue";"11e";"204"
"9592";"VILLA CANTATE";"villa";"19e";"60"
"8810";"AVENUE ADRIEN HEBRARD";"avenue";"16e";"131"
"9638";"AVENUE CARTELLIER";"avenue";"20e";"220"
"8769";"RUE DE L'ABBE MIGNE";"rue";"04e";"18"
"8815";"PLACE ADRIEN OUDIN";"place";"09e";""
"9766";"RUE CHARLES ET ROBERT";"rue";"20e";"112"
"8839";"PLACE ALBERT KAHN";"place";"18e";"64"
"9784";"PLACE CHARLES MONSELET";"place";"19e";""
"10696";"SQUARE FERNAND DE LA TOMBELLE";"square";"17e";"40"
"10317";"RUE DU DOCTEUR TUFFIER";"rue";"13e";"180"
"11345";"CITE INDUSTRIELLE";"cité";"11e";"215"
"11008";"PLACE GEORGES GUILLAUMIN";"place";"08e";""
"11367";"PLACE D'ISRAEL";"place";"17e";""
"10962";"RUE DU GENERAL LANREZAC";"rue";"17e";"110"
"10967";"AVENUE DU GENERAL MAISTRE";"avenue";"14e";"295"
"11022";"ALLEE GEORGES ROUAULT";"allée";"20e";"175"
"10971";"AVENUE DU GENERAL LEMONNIER";"avenue";"01e";"317"
"10355";"PASSAGE DUBUFFET";"passage";"12e";"113"
"11398";"PLACE JACQUES ROUCHE";"place";"09e";""
"10433";"SQUARE DES ECRIVAINS COMBATTANTS MORTS POUR LA FRANCE";"square";"16e";"70"
"10018";"RUE DE CONSTANTINE";"rue";"07e";"330"
"10442";"RUE EDMOND FLAMAND";"rue";"13e";"215"
"10458";"RUE EDOUARD QUENU";"rue";"05e";"41"
"11060";"ALLEE GEORGES BESSE";"allée";"14e";"440"
"10489";"RUE EMILE BOREL";"rue";"17e";"150"
"10100";"VILLA CROIX NIVERT";"villa";"15e";"242"
"10117";"VILLA CURIAL";"villa";"19e";"625"
"12721";"RUE PEGUY";"rue";"06e";"68"
"11774";"RUE LEMON";"rue";"20e";"50"
"11182";"RUE GUSTAVE ROUANET";"rue";"18e";"197"
"10821";"PLACE FRANZ LISZT";"place";"10e";""
"10831";"RUE FREDERIC MOURLON";"rue";"19e";"67"
"10261";"PASSAGE DES DEUX PORTES";"passage";"20e";"56"
"10864";"SQUARE GABRIEL FAURE";"square";"17e";"165"
"10619";"PLACE DE L'EUROPE-SIMONE VEIL";"place";"08e";"58"
"10597";"RUE EUGENE FOURNIERE";"rue";"18e";"125"
"11269";"PLACE HENRI QUEUILLE";"place";"15e";""
"10911";"RUE GASTON PINOT";"rue";"19e";"160"
"10287";"RUE DU DOCTEUR BABINSKI";"rue";"18e";"352"
"10688";"CARREFOUR DE LA FERME DE LA FAISANDERIE";"carrefour";"12e";""
"11282";"RUE HENRY DE BOURNAZEL";"rue";"14e";"100"
"10303";"RUE DU DOCTEUR LANDOUZY";"rue";"13e";"90"
"12655";"VILLA PATRICE BOUDARD";"villa";"16e";"47"
"11782";"AVENUE LEON BOLLEE";"avenue";"13e";"360"
"11795";"RUE LEON FRAPIE";"rue";"20e";"195"
"12670";"RUE PAUL BOURGET";"rue";"13e";"305"
"12989";"PLACE DE LA PORTE DE MONTREUIL";"place";"20e";""
"12546";"SQUARE DE L'OPERA-LOUIS JOUVET";"square";"09e";"77"
"12683";"RUE PAUL DUPUY";"rue";"16e";"91"
"12688";"RUE PAUL FORT";"rue";"14e";"220"
"11904";"PLACE LOUIS ARMAND";"place";"12e";""
"12819";"RUE DU PIC DE BARRETTE";"rue";"15e";"82"
"12178";"RUE MAURICE ROUVIER";"rue";"14e";"153"
"12874";"RUE PIERRE QUILLARD";"rue";"20e";"60"
"11498";"RUE JEAN-SEBASTIEN BACH";"rue";"13e";"140"
"12866";"RUE PIERRE MILLE";"rue";"15e";"115"
"12303";"RUE DU MONT AIGOUAL";"rue";"15e";"80"
"11528";"AVENUE JOSEPH BEDIER";"avenue";"13e";"80"
"12871";"RUE PIERRE REVERDY";"rue";"19e";"137"
"12343";"RUE MONTICELLI";"rue";"14e";"94"
"14232";"VOIE D/8";"voie";"08e";"54"
"12443";"PLACE NATTIER";"place";"18e";""
"13980";"SQUARE DE LA VENDEE";"square";"12e";"34"
"12436";"AVENUE DES NATIONS UNIES";"avenue";"16e";"370"
"13297";"BOULEVARD ROMAIN ROLLAND";"boulevard";"14e";"1160"
"14801";"RUE FRANCOISE DOLTO";"rue";"13e";"310"
"13383";"VILLA SANTOS-DUMONT";"villa";"15e";"110"
"13419";"SQUARE SEDILLOT";"square";"07e";"67"
"14488";"VOIE AD/18";"voie";"18e";"29"
"14423";"VOIE X/16";"voie";"16e";"32"
"14490";"VOIE AG/18";"voie";"18e";"35"
"13467";"RUE SISLEY";"rue";"17e";"100"
"14457";"VOIE Z/20";"voie";"20e";"49"
"11037";"PASSAGE DE GERGOVIE";"passage";"14e";"135"
"14837";"PLACE GABRIEL KASPEREIT";"place";"09e";"30"
"13569";"SQUARE SAINT-CHARLES";"square";"12e";"242"
"14702";"AVENUE DE SAINT-MAURICE";"avenue";"12e";"1220"
"13093";"PLACE DES PYRAMIDES";"place";"01e";"42"
"13215";"RUE REYNALDO HAHN";"rue";"20e";"220"
"14718";"PLACE MARC BLOCH";"place";"20e";"41"
"13217";"SQUARE DU RHONE";"square";"17e";"64"
"13740";"RUE DE TAHITI";"rue";"12e";"60"
"14177";"VOIE AH/16";"voie";"16e";"20"
"14732";"PLACE MARCEL CERDAN";"place";"15e";"70"
"13165";"RUE REDON";"rue";"17e";"44"
"15051";"PASSAGE ROSE VALLAND";"passage";"17e";"100"
"13184";"RUE REMY DUMONCEL";"rue";"14e";"370"
"14749";"PLACE LINO VENTURA";"place";"09e";""
"14191";"VOIE AO/12";"voie";"12e";"60"
"13231";"PLACE RICHARD DE COUDENHOVE-KALERGI";"place";"16e";"27"
"13931";"RUE VALERY LARBAUD";"rue";"13e";"60"
"14786";"PROMENADE MAURICE CAREME";"promenade";"04e";"115"
"14225";"VOIE DL/20";"voie";"20e";"20"
"15230";"ALLEE CLAUDE CAHUN-MARCEL MOORE";"allée";"06e";""
"15234";"ALLEE JEAN-FRANCOIS DIVRY";"allée";"17e";""
"14954";"ESPLANADE JACQUES CHABAN-DELMAS";"esplanade";"07e";"310"
"14956";"PLACE DES DROITS DE L'ENFANT";"place";"14e";""
"12075";"AVENUE DU MARECHAL GALLIENI";"avenue";"07e";"450"
"10987";"RUE GEO CHAVEZ";"rue";"20e";"220"
"12470";"RUE NICOLAS";"rue";"20e";"25"
"9212";"VILLA BAUMANN";"villa";"20e";"55"
"14970";"VOIE B/4";"voie";"04e";""
"13969";"RUE DE VAUGIRARD";"rue";"06e,15e";"4360"
"9519";"RUE DE BUCAREST";"rue";"08e";"154"
"11014";"PLACE GEORGES MULOT";"place";"15e";""
"14998";"PLACE RENEE VIVIEN";"place";"03e";""
"13620";"PASSAGE SAINT-JULES";"passage";"18e";"80"
"10379";"RUE DUNOIS";"rue";"13e";"640"
"11068";"AVENUE DES GOBELINS";"avenue";"05e,13e";"765"
"14866";"SQUARE AMICIE LEBAUDY";"square";"20e";"60"
"15020";"PLACE MIREILLE";"place";"01e";""
"14874";"RUE JEAN-BAPTISTE SAY";"rue";"09e";"91"
"10611";"RUE EUGENE VARLIN";"rue";"10e";"230"
"14887";"RUE DES GRANDS MOULINS";"rue";"13e";"450"
"15181";"PROMENADE COCCINELLE";"promenade";"09e,18e";""
"15187";"PASSERELLE MARCELLE HENRY";"passerelle";"17e";""
"15076";"PLACE PIERRE RIBOULET";"place";"13e";"40"
"15095";"RUE MARIE-HELENE LEFAUCHEUX";"rue";"19e";"84"
"15221";"PROMENADE FLORENCE ARTHAUD";"promenade";"19e";"365"
"15229";"PARVIS DES 260 ENFANTS";"parvis";"04e";""
"10582";"RUE ETEX";"rue";"18e";"430"
"13597";"BOULEVARD SAINT-GERMAIN";"boulevard";"05e,06e,07e";"3150"
"10586";"RUE ETIENNE MARCEL";"rue";"01e,02e";"702"
"14926";"RUE JEAN DE LA FONTAINE";"rue";"16e";"962"
"9591";"RUE CANTAGREL";"rue";"13e";"470"
"9107";"RUE AUGUSTE CAIN";"rue";"14e";"145"
"9738";"RUE CHAPU";"rue";"16e";"68"
"12044";"ALLEE MARCEL PROUST";"allée";"08e";"350"
"9630";"PLACE CARREE";"place";"01e";"35"
"9825";"RUE CHAUCHAT";"rue";"09e";"274"
"9214";"RUE BAYARD";"rue";"08e";"287"
"9285";"PORT DE BERCY";"port";"12e";"1450"
"11982";"RUE MADEMOISELLE";"rue";"15e";"665"
"9248";"VILLA DU BEL AIR";"villa";"12e";"270"
"10518";"SQUARE EMILE ZOLA";"square";"15e";"46"
"10973";"AVENUE DU GENERAL MICHEL BIZOT";"avenue";"12e";"1155"
"9420";"RUE DES BOULANGERS";"rue";"05e";"224"
"15368";"RUE MARIA BRIGNOLE";"rue";"16e";"60"
"13188";"CITE DU RENDEZ-VOUS";"cité";"12e";"61"
"13558";"PASSAGE SAINT-BERNARD";"passage";"11e";"210"
"13324";"RUE ROUBO";"rue";"11e";"65"
"14681";"ROUTE DES PELOUSES";"route";"12e";"315"
"10474";"RUE ELISA BOREY";"rue";"20e";"141"
"13490";"VILLA SOUCHET";"villa";"20e";"82"
"9822";"RUE DE CHATILLON";"rue";"14e";"270"
"10920";"RUE GAUGUET";"rue";"14e";"53"
"9882";"RUE DES CISEAUX";"rue";"06e";"69"
"12704";"PLACE PAUL SIGNAC";"place";"20e";""
"14653";"ROUTE DE L'ETANG";"route";"12e";"85"
"9489";"RUE BREZIN";"rue";"14e";"290"
"10667";"RUE FELIX FAURE";"rue";"15e";"112"
"14395";"VOIE BV/18";"voie";"18e";"200"
"10591";"COUR DE L'ETOILE D'OR";"cour";"11e";"80"
"10828";"RUE FREDERIC MAGISSON";"rue";"15e";"107"
"11690";"RUE DE LA PLANCHE";"rue";"07e";"105"
"12588";"COUR DE L'OURS";"cour";"11e";"90"
"12121";"RUE DE MARSEILLE";"rue";"10e";"132"
"14323";"VOIE EE/20";"voie";"20e";"130"
"14478";"VOIE CF/15";"voie";"15e";"160"
"14537";"VOIE BO/17";"voie";"17e";"111"
"13560";"RUE SAINT-BERNARD";"rue";"11e";"380"
"9169";"RUE BARBET DE JOUY";"rue";"07e";"405"
"15376";"PROMENADE GEORGETTE ELGEY";"promenade";"13e";""
"13619";"RUE SAINT-JOSEPH";"rue";"02e";"160"
"12404";"RUE DE MOUSSY";"rue";"04e";"137"
"14688";"ROUTE DE LA POMPADOUR";"route";"12e";"700"
"9505";"RUE BRONGNIART";"rue";"02e";"20"
"13390";"RUE SAULNIER";"rue";"09e";"206"
"14553";"ALLEE DES BOULEAUX";"allée";"16e";"2050"
"10478";"GALERIE ELYSEES-LA BOETIE";"galerie";"08e";"70"
"9862";"PASSAGE CHOISEUL";"passage";"02e";"190"
"8790";"AUTOROUTE A4";"autoroute";"12e";"1340"
"11234";"RUE DU HELDER";"rue";"09e";"145"
"14589";"ROUTE DE LA MUETTE A NEUILLY";"route";"16e";"1800"
"10205";"RUE DELBET";"rue";"14e";"110"
"14614";"ROUTE DE SEVRES A NEUILLY";"route";"16e";"3000"
"9129";"PORT D'AUSTERLITZ";"port";"13e";"980"
"10032";"AVENUE DU COQ";"avenue";"09e";"72"
"8970";"RUE ANDRE PASCAL";"rue";"16e";"125"
"12958";"RUE POQUELIN";"rue";"01e";"64"
"10855";"RUE FULTON";"rue";"13e";"125"
"12122";"RUE MARSOLLIER";"rue";"02e";"100"
"10834";"SQUARE FREDERIC VALLOIS";"square";"15e";"40"
"9426";"IMPASSE DE LA BOULE ROUGE";"impasse";"09e";"27"
"14682";"ROUTE DES PELOUSES MARIGNY";"route";"12e";"280"
"13787";"AVENUE THEODORE ROUSSEAU";"avenue";"16e";"92"
"11251";"RUE HENRI DUCHENE";"rue";"15e";"80"
"12358";"PASSAGE DE MONTPENSIER";"passage";"01e";"9"
"14295";"VOIE CL/12";"voie";"12e";"250"
"14547";"CHEMIN DE L'ABBAYE";"chemin";"16e";"280"
"9834";"RUE CHAUVELOT";"rue";"15e";"160"
"14425";"VOIE AV/16";"voie";"16e";"360"
"14435";"VOIE BF/16";"voie";"16e";"170"
"12146";"IMPASSE MASSONNET";"impasse";"18e";"75"
"8984";"CITE D'ANGOULEME";"cité";"11e";"73"
"12450";"RUE NELATON";"rue";"15e";"185"
"14368";"VOIE DI/19";"voie";"19e";"15"
"9947";"RUE COGNACQ-JAY";"rue";"07e";"224"
"12876";"RUE PIERRE SARRAZIN";"rue";"06e";"90"
"13691";"RUE SAINT-VINCENT";"rue";"18e";"400"
"10618";"RUE DE L'EURE";"rue";"14e";"130"
"9977";"RUE DE LA COMETE";"rue";"07e";"195"
"15360";"VOIE N/8";"voie";"08e,09e";""
"14893";"PLACE HANNAH ARENDT";"place";"19e";"27"
"9410";"RUE DE LA BOUCLE";"rue";"01e";"238"
"12463";"RUE DE NEVERS";"rue";"06e";"128"
"14336";"VOIE EQ/20";"voie";"20e";"100"
"14114";"RUE VOLTA";"rue";"03e";"330"
"15409";"PLACE DES TIRAILLEURS SENEGALAIS";"place";"18e";""
"10362";"RUE DE LA DUEE";"rue";"20e";"257"
"9386";"RUE DE LA BONNE";"rue";"18e";"170"
"12401";"IMPASSE MOUSSET";"impasse";"12e";"203"
"11123";"QUAI DE GRENELLE";"quai";"15e";"740"
"10216";"RUE DU DELTA";"rue";"09e";"200"
"9085";"VILLA DE L'ASTROLABE";"villa";"15e";"110"
"13178";"RUE DE LA REINE BLANCHE";"rue";"13e";"220"
"15480";"PLACE PHILIPPE DE BROCA";"place";"12e";""
"15062";"VOIE GC/13";"voie";"13e";"125"
"9316";"AVENUE BERTIE ALBRECHT";"avenue";"08e";"132"
"9179";"RUE BARRELET DE RICOU";"rue";"19e";"108"
"9199";"PLACE DU BATAILLON FRANCAIS DE L'O.N.U. EN COREE";"place";"04e";"155"
"9964";"RUE DU COLONEL DRIANT";"rue";"01e";"262"
"9561";"PLACE DU CALVAIRE";"place";"18e";"36"
"12479";"RUE NICOLAS RORET";"rue";"13e";"89"
"9654";"RUE CATULLE MENDES";"rue";"17e";"110"
"9537";"RUE DE LA BUTTE AUX CAILLES";"rue";"13e";"407"
"13948";"RUE VANDREZANNE";"rue";"13e";"300"
"8822";"VILLA DES AIGRETTES";"villa";"19e";"36"
"8823";"RUE AIME LAVY";"rue";"18e";"35"
"8842";"AVENUE ALBERT DE MUN";"avenue";"16e";"230"
"14577";"ROUTE DES LACS A MADRID";"route";"16e";"700"
"14677";"ROUTE NOUVELLE";"route";"12e";"350"
"11286";"SQUARE HENRY PATE";"square";"16e";"153"
"10932";"RUE DU GENERAL ANSELIN";"rue";"16e";"260"
"10936";"AVENUE DU GENERAL BALFOURIER";"avenue";"16e";"92"
"10981";"PLACE DU GENERAL STEFANIK";"place";"16e";"80"
"10937";"RUE DU GENERAL BARATIER";"rue";"15e";"44"
"11337";"PLACE DE L'ILE DE SEIN";"place";"14e";"47"
"10946";"AVENUE DU GENERAL CLAVERY";"avenue";"16e";"105"
"10318";"RUE DU DOCTEUR VICTOR HUTINEL";"rue";"13e";"100"
"10954";"AVENUE DU GENERAL FERRIE";"avenue";"07e";"250"
"11005";"SQUARE GEORGES CONTENOT";"square";"12e";""
"10025";"PLACE DE LA CONTRESCARPE";"place";"05e";""
"9674";"RUE CERNUSCHI";"rue";"17e";"158"
"8869";"RUE ALEXANDRE PARODI";"rue";"10e";"200"
"12397";"IMPASSE DU MOULIN VERT";"impasse";"14e";"130"
"9302";"RUE DE BERNE";"rue";"08e";"240"
"11989";"CITE DE MAGENTA";"cité";"10e";"80"
"8878";"RUE ALFRED DE VIGNY";"rue";"08e,17e";"195"
"12556";"RUE ORFILA";"rue";"20e";"603"
"10007";"RUE CONDILLAC";"rue";"11e";"75"
"9903";"RUE CLAUDE TILLIER";"rue";"12e";"252"
"11430";"RUE JEAN-BAPTISTE DUMAS";"rue";"17e";"161"
"9005";"RUE ANTOINE BOURDELLE";"rue";"15e";"270"
"9486";"RUE BRETONNEAU";"rue";"20e";"100"
"10780";"RUE FOURNEYRON";"rue";"17e";"55"
"8921";"VILLA D'ALSACE";"villa";"19e";"43"
"9309";"RUE BERRYER";"rue";"08e";"105"
"9995";"RUE DU COMMERCE";"rue";"15e";"675"
"9994";"PLACE DU COMMERCE";"place";"15e";"200"
"9060";"RUE DES ARQUEBUSIERS";"rue";"03e";"153"
"13746";"RUE DES TANNERIES";"rue";"13e";"200"
"13060";"RUE DE LA PREVOYANCE";"rue";"19e";"285"
"9375";"RUE BOIS LE VENT";"rue";"16e";"270"
"12857";"RUE PIERRE L'ERMITE";"rue";"18e";"74"
"12225";"COUR DE LA METAIRIE";"cour";"20e";"86"
"11025";"VILLA GEORGINA";"villa";"20e";"45"
"14075";"RUE DE VILLERSEXEL";"rue";"07e";"106"
"11681";"RUE DE LANNEAU";"rue";"05e";"70"
"10431";"RUE D'ECOSSE";"rue";"05e";"35"
"13256";"RUE ROBERT ESNAULT-PELTERIE";"rue";"07e";"185"
"10753";"RUE DE LA FONTAINE A MULARD";"rue";"13e";"280"
"13052";"IMPASSE DE PRESLES";"impasse";"15e";"74"
"15304";"RUE ANDREE PUTMAN";"rue";"17e";""
"10397";"RUE DE LA DURANCE";"rue";"12e";"205"
"12894";"RUE PIXERECOURT";"rue";"20e";"570"
"14097";"RUE VIOLLET-LE-DUC";"rue";"09e";"91"
"11660";"RUE LALLY-TOLLENDAL";"rue";"19e";"153"
"13182";"RUE DE REMUSAT";"rue";"16e";"230"
"10150";"VILLA DU DANUBE";"villa";"19e";"60"
"9867";"RUE CHORON";"rue";"09e";"230"
"14122";"RUE DE VOUILLE";"rue";"15e";"610"
"8829";"RUE ALAIN CHARTIER";"rue";"15e";"190"
"10625";"BOULEVARD EXELMANS";"boulevard";"16e";"1205"
"12091";"IMPASSE MARIE BLANCHE";"impasse";"18e";"40"
"11985";"RUE DE MAGDEBOURG";"rue";"16e";"135"
"9582";"RUE CAMULOGENE";"rue";"15e";"58"
"9940";"IMPASSE DES CLOYS";"impasse";"18e";"55"
"12644";"RUE DE PASSY";"rue";"16e";"700"
"12317";"RUE MONTBRUN";"rue";"14e";"170"
"13561";"PLACE SAINT-BLAISE";"place";"20e";"61"
"11634";"RUE LA CONDAMINE";"rue";"17e";"680"
"13952";"RUE VAN LOO";"rue";"16e";"133"
"8892";"RUE D'ALIGRE";"rue";"12e";"345"
"11349";"RUE DES INNOCENTS";"rue";"01e";"115"
"10133";"RUE DAMESME";"rue";"13e";"538"
"12469";"RUE NICOLAI";"rue";"12e";"330"
"13630";"RUE SAINT-LUC";"rue";"18e";"172"
"15325";"RUE LOUISE-EMILIE DE LA TOUR D'AUVERGNE";"rue";"09e";"418"
"11770";"RUE LE MAROIS";"rue";"16e";"300"
"13239";"RUE DE RIGNY";"rue";"08e";"39"
"13325";"RUE ROUELLE";"rue";"15e";"320"
"13748";"RUE TARBE";"rue";"17e";"74"
"13310";"RUE DE LA ROQUETTE";"rue";"11e";"1505"
"13207";"PLACE DE LA RESISTANCE";"place";"07e";""
"8962";"PASSAGE DE L'ANCRE";"passage";"03e";"68"
"9885";"RUE DE CITEAUX";"rue";"12e";"415"
"11034";"RUE GERBIER";"rue";"11e";"174"
"9642";"RUE CASIMIR DELAVIGNE";"rue";"06e";"105"
"9396";"RUE DU BORREGO";"rue";"20e";"420"
"12355";"BOULEVARD DU MONTPARNASSE";"boulevard";"06e,14e,15e";"1632"
"13033";"RUE POULLETIER";"rue";"04e";"156"
"13438";"BOULEVARD SERURIER";"boulevard";"19e";"2550"
"12942";"BOULEVARD PONIATOWSKI";"boulevard";"12e";"1450"
"9821";"PLACE DU CHATELET";"place";"01e,04e";"79"
"10742";"AVENUE FOCH";"avenue";"16e";"1300"
"11079";"IMPASSE GOMBOUST";"impasse";"01e";"29"
"10403";"PASSAGE DURIS";"passage";"20e";"48"
"14487";"VOIE AC/18";"voie";"18e";"110"
"10434";"RUE EDGAR VARESE";"rue";"19e";"190"
"11405";"RUE JANSSEN";"rue";"19e";"115"
"9990";"BOULEVARD DE LA COMMANDERIE";"boulevard";"19e";"180"
"11051";"PLACE GILBERT PERROY";"place";"14e";""
"10752";"PLACE DE LA FONTAINE AUX LIONS";"place";"19e";""
"11058";"ALLEE DU GENERAL DENAIN";"allée";"15e";"225"
"10071";"AVENUE COURTELINE";"avenue";"12e";"345"
"10488";"RUE EMILE BLEMONT";"rue";"18e";"95"
"14234";"VOIE F/8";"voie";"08e";"91"
"10160";"RUE DARMESTETER";"rue";"13e";"110"
"10165";"RUE DAUBIGNY";"rue";"17e";"250"
"10608";"RUE EUGENE REISZ";"rue";"20e";"115"
"10196";"RUE DEGAS";"rue";"16e";"135"
"10232";"RUE DESARGUES";"rue";"11e";"126"
"10830";"VILLA FREDERIC MISTRAL";"villa";"15e";"98"
"10251";"RUE DU DESSOUS DES BERGES";"rue";"13e";"685"
"11236";"PLACE HENRI FRENAY";"place";"12e";"180"
"10642";"RUE FANTIN LATOUR";"rue";"16e";"188"
"10657";"RUE DES FAVORITES";"rue";"15e";"460"
"11281";"SQUARE HENRY BATAILLE";"square";"16e";"68"
"10930";"RUE DU GENERAL RENAULT";"rue";"11e";"45"
"12107";"RUE MARIO NIKIS";"rue";"15e";"120"
"12474";"VILLA NICOLAS DE BLEGNY";"villa";"11e";"155"
"12648";"RUE DU PASTEUR WAGNER";"rue";"11e";"100"
"12661";"AVENUE PAUL APPELL";"avenue";"14e";"310"
"12987";"AVENUE DE LA PORTE DE MONTMARTRE";"avenue";"18e";"390"
"12540";"RUE OLIVIER NOYER";"rue";"14e";"245"
"11805";"RUE LEON LHERMITTE";"rue";"15e";"240"
"12693";"RUE PAULIN ENFERT";"rue";"13e";"110"
"12595";"RUE PAGANINI";"rue";"20e";"100"
"11870";"SQUARE DU LIMOUSIN";"square";"13e";"138"
"12737";"RUE DU PERE PROSPER-ENFANTIN";"rue";"20e";"41"
"12739";"PLACE DU PERE CHAILLET";"place";"11e";"53"
"13006";"PLACE DE LA PORTE DE VANVES";"place";"14e";""
"11423";"RUE DU JAVELOT";"rue";"13e";"630"
"11900";"QUAI DU LOT";"quai";"19e";"345"
"11428";"RUE JEAN ANTOINE DE BAIF";"rue";"13e";"215"
"14298";"VOIE P/12";"voie";"12e";"63"
"12758";"ALLEE PERNETTE DU GUILLET";"allée";"19e";"135"
"12760";"PLACE DU PEROU";"place";"08e";"44"
"12789";"ROUTE DES PETITS PONTS";"route";"19e";"360"
"12182";"RUE MAURICE GENEVOIX";"rue";"18e";"83"
"11955";"PLACE LUCIEN HERR";"place";"05e";""
"12239";"PLACE MICHEL AUDIARD";"place";"14e";""
"11496";"RUE JEAN RICHEPIN";"rue";"16e";"153"
"11517";"PLACE JOFFRE";"place";"07e";"450"
"12017";"SQUARE MALHERBE";"square";"16e";"68"
"12785";"PASSAGE DE LA PETITE VOIRIE";"passage";"11e";"23"
"12432";"PLACE DE NARVIK";"place";"08e";""
"14228";"VOIE E/9";"voie";"09e";"17"
"13323";"PLACE DE ROUBAIX";"place";"10e";""
"13351";"PLACE RUTEBEUF";"place";"12e";"64"
"13382";"RUE SANTOS-DUMONT";"rue";"15e";"315"
"14805";"BELVEDERE WILLY RONIS";"belvédère";"20e";""
"14808";"RUE BERNARD TETU";"rue";"19e";"136"
"13466";"VILLA DES SIZERINS";"villa";"19e";"46"
"14455";"VOIE Z/16";"voie";"16e";"18"
"14458";"VOIE Z/18";"voie";"18e";"32"
"14825";"RUE MARGUERITE DURAS";"rue";"13e";"162"
"14008";"CITE VERON";"cité";"18e";"80"
"14710";"PLACE DULCIE SEPTEMBER";"place";"10e";""
"13072";"RUE DU PROFESSEUR FLORIAN DELBARRE";"rue";"15e";"372"
"13635";"RUE DE SAINT-MARCEAUX";"rue";"17e";"150"
"13671";"SQUARE SAINT-ROMAIN";"square";"06e";"31"
"14133";"RUE WATT";"rue";"13e";"500"
"14717";"RUE JEAN FOURASTIE";"rue";"15e";"47"
"14110";"ALLEE VIVALDI";"allée";"12e";"390"
"14155";"RUE ZADKINE";"rue";"13e";"90"
"14739";"PROMENADE SIGNORET-MONTAND";"promenade";"19e";""
"13158";"RUE RAYMOND RADIGUET";"rue";"19e";"245"
"14745";"RUE DE L'EMPEREUR JULIEN";"rue";"14e";"90"
"14167";"VOIE A/15";"voie";"15e";"35"
"13836";"SQUARE TOLSTOI";"square";"16e";"68"
"14771";"VILLA DES HAUTES TRAVERSES";"villa";"20e";"57"
"15101";"RUE RENE BLUM";"rue";"17e";"107"
"15108";"RUE ROMY SCHNEIDER";"rue";"18e";"84"
"13403";"RUE SCHEFFER";"rue";"16e";"590"
"9362";"RUE DU BOCCADOR";"rue";"08e";"254"
"15136";"ALLEE COLETTE HEILBRONNER";"allée";"17e";"218"
"12992";"AVENUE DE LA PORTE DE PANTIN";"avenue";"19e";"130"
"14980";"PROMENADE JULES ISAAC";"promenade";"13e";"370"
"12632";"RUE PARENT DE ROSAN";"rue";"16e";"246"
"12884";"RUE PILLET-WILL";"rue";"09e";"165"
"14848";"AVENUE DE LA SIBELLE";"avenue";"14e";"260"
"14856";"RUE JEAN OBERLE";"rue";"19e";"28"
"12553";"QUAI DES ORFEVRES";"quai";"01e";"366"
"13034";"RUE POUSSIN";"rue";"16e";"390"
"9312";"BOULEVARD BERTHIER";"boulevard";"17e";"1750"
"8889";"RUE ALIBERT";"rue";"10e";"278"
"13446";"RUE DE SEVRES";"rue";"06e,07e,15e";"1500"
"12512";"RUE NOTRE-DAME DES VICTOIRES";"rue";"02e";"420"
"12501";"COUR DU NOM DE JESUS";"cour";"11e";"34"
"13570";"CITE SAINT-CHAUMONT";"cité";"19e";"235"
"10405";"CITE DURMAR";"cité";"11e";"120"
"10674";"RUE FENELON";"rue";"10e";"117"
"13144";"RUE DES RASSELINS";"rue";"20e";"336"
"14081";"RUE VILLIOT";"rue";"12e";"236"
"9011";"CITE ANTOINE LOUBEYRE";"cité";"20e";"72"
"12793";"RUE DES PETITS CARREAUX";"rue";"02e";"228"
"9288";"RUE DE BERCY";"rue";"12e";"1900"
"9691";"RUE DE CHALON";"rue";"12e";"434"
"13137";"QUAI DE LA RAPEE";"quai";"12e";"890"
"9284";"PONT DE BERCY";"pont";"12e,13e";"175"
"12110";"RUE DE MARIVAUX";"rue";"02e";"119"
"11959";"RUE LULLI";"rue";"02e";"38"
"13639";"RUE SAINT-MARTIN";"rue";"03e,04e";"1420"
"13230";"RUE DE RICHELIEU";"rue";"01e,02e";"990"
"9948";"GALERIE COLBERT";"galerie";"02e";"83"
"8864";"RUE ALEXANDRE CABANEL";"rue";"15e";"220"
"11380";"RUE JACQUARD";"rue";"11e";"28"
"12113";"QUAI DE LA MARNE";"quai";"19e";"610"
"10383";"RUE DUPETIT-THOUARS";"rue";"03e";"200"
