"typologie";"voie";"arrdt";"cycling_length"
"Pistes cyclables";"RUE ARTHUR RANC";"18";"15.5633768"
"Pistes cyclables";"RUE ARTHUR RANC";"18";"70.943451"
"Bandes cyclables";"RUE ARTHUR RANC";"18";"6.11177574"
"Pistes cyclables";"BOULEVARD MACDONALD";"19";"13.09956594"
"Bandes cyclables";"RUE DE KABYLIE";"19";"16.32610852"
"Pistes cyclables";"QUAI DE LA LOIRE";"19";"8.68439213"
"Pistes cyclables";"BOULEVARD MORTIER";"20";"101.3768696"
"Couloirs de bus ouverts aux vélos";"RUE ORDENER";"18";"30.17220683"
"Couloirs de bus ouverts aux vélos";"BOULEVARD ORNANO";"18";"84.95450582"
"Couloirs de bus ouverts aux vélos";"BOULEVARD ORNANO";"18";"18.06242659"
"Pistes cyclables";"BOULEVARD CARNOT";"12";"227.29182762"
"Pistes cyclables";"BOULEVARD D INDOCHINE";"19";"87.7159753"
"Bandes cyclables";"RUE BELGRAND";"20";"89.44347905"
"Bandes cyclables";"RUE BELGRAND";"20";"19.98549548"
"Bandes cyclables";"RUE BONAPARTE";"6";"8.1242023"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT GERMAIN";"5";"78.02815626"
"Bandes cyclables";"RUE SAINT JACQUES";"5";"44.25809101"
"Couloirs de bus ouverts aux vélos";"BOULEVARD ORNANO";"18";"16.50494173"
"Pistes cyclables";"AVENUE CORENTIN CARIOU";"19";"62.79131585"
"Bandes cyclables";"RUE DES FOUGERES";"20";"11.05567238"
"Pistes cyclables";"AVENUE DE GRAVELLE";"12";"705.33177203"
"Bandes cyclables";"BOULEVARD DE LA VILLETTE";"19";"14.32199456"
"Pistes cyclables";"BOULEVARD DE MENILMONTANT";"20";"69.49389951"
"Bandes cyclables";"BOULEVARD MALESHERBES";"17";"18.71432988"
"Couloirs de bus ouverts aux vélos";"RUE DE JESSAINT";"18";"93.25670949"
"Couloirs de bus ouverts aux vélos";"RUE DE LA CHAPELLE";"18";"166.9680833"
"Pistes cyclables";"RUE DU POLE NORD";"18";"5.12318047"
"Pistes cyclables";"ESPLANADE SAINT-LOUIS";"12";"10.26889151"
"Pistes cyclables";"PLACE DE LA PORTE DE BAGNOLET";"20";"7.11932792"
"Couloirs de bus ouverts aux vélos";"BOULEVARD ORNANO";"18";"14.30747697"
"Couloirs de bus ouverts aux vélos";"BOULEVARD ORNANO";"18";"33.98536764"
"Pistes cyclables";"BOULEVARD BARBES";"18";"28.12092392"
"Pistes cyclables";"COURS DES MARECHAUX";"12";"14.07223884"
"Pistes cyclables";"AVENUE DE LA PORTE BRUNET";"19";"86.79623781"
"Pistes cyclables";"BOULEVARD DIDEROT";"12";"119.55465481"
"Pistes cyclables";"BOULEVARD BARBES";"18";"64.39078146"
"Pistes cyclables";"PORTE DE VINCENNES";"12";"11.63150574"
"Pistes cyclables";"AVENUE DAUMESNIL";"12";"11.84755359"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SERURIER";"19";"18.28862166"
"Pistes cyclables";"RUE DES DOCTEURS DEJERINE";"20";"260.04102904"
"Pistes cyclables";"BOULEVARD DE PICPUS";"12";"64.59258989"
"Pistes cyclables";"RUE DE LAGNY";"20";"7.10929373"
"Pistes cyclables";"AVENUE DE LA PORTE DE VINCENNES";"12";"13.57469019"
"Pistes cyclables";"BOULEVARD SOULT";"12";"15.21193839"
"Pistes cyclables";"PLACE DU CARDINAL LAVIGERIE";"12";"9.59475877"
"Bandes cyclables";"RUE DU MONT CENIS";"18";"193.17297021"
"Pistes cyclables";"BOULEVARD DE CHARONNE";"20";"13.58395444"
"Bandes cyclables";"BOULEVARD DE CHARONNE";"20";"7.24710156"
"Pistes cyclables";"BOULEVARD DE CHARONNE";"20";"18.9841366"
"Bandes cyclables";"BOULEVARD DE CHARONNE";"20";"12.06847532"
"Pistes cyclables";"BOULEVARD DE CHARONNE";"20";"16.98274097"
"Pistes cyclables";"BOULEVARD D INDOCHINE";"19";"208.27071881"
"Pistes cyclables";"QUAI FRANCOIS MAURIAC";"13";"474.29160658"
"Pistes cyclables";"RUE DE LAGNY";"20";"114.78429588"
"Pistes cyclables";"AVENUE DAUMESNIL";"12";"20.88113998"
"Pistes cyclables";"BOULEVARD BARBES";"18";"13.89028635"
"Pistes cyclables";"BOULEVARD BARBES";"18";"13.99388424"
"Pistes cyclables";"AVENUE JEAN JAURES";"19";"16.24414406"
"Bandes cyclables";"RUE DE CRIMEE";"19";"15.20519423"
"Pistes cyclables";"RUE DE CRIMEE";"19";"9.5398463"
"Pistes cyclables";"AVENUE DE GRAVELLE";"12";"1626.45888448"
"Pistes cyclables";"PLACE FELIX EBOUE";"12";"20.19036918"
"Pistes cyclables";"PLACE FELIX EBOUE";"12";"10.61319201"
"Bandes cyclables";"PLACE DE LA NATION";"11";"33.50103993"
"Bandes cyclables";"Rue Dante";"5";"10.7086011"
"Bandes cyclables";"Rue de Clignancourt";"18";"66.56137035"
"Pistes cyclables";"AVENUE DE GRAVELLE";"12";"25.08076431"
"Pistes cyclables";"BOULEVARD D INDOCHINE";"19";"27.63812514"
"Bandes cyclables";"RUE DE WATTIGNIES";"12";"31.82877881"
"Pistes cyclables";"AVENUE JEAN JAURES";"19";"5.88121537"
"Pistes cyclables";"BOULEVARD MACDONALD";"19";"20.3694737"
"Pistes cyclables";"PORTE D AUBERVILLIERS";"19";"13.91706808"
"Pistes cyclables";"RUE DES FRERES FLAVIEN";"20";"178.82263644"
"Pistes cyclables";"PLACE DE LA PORTE DE PANTIN";"19";"111.92054317"
"Bandes cyclables";"PLACE DE LA PORTE DE PANTIN";"19";"26.11524851"
"Couloirs de bus ouverts aux vélos";"BOULEVARD MALESHERBES";"17";"120.25593964"
"Couloirs de bus ouverts aux vélos";"BOULEVARD PERSHING";"17";"19.28989851"
"Pistes cyclables";"ESPLANADE SAINT-LOUIS";"12";"83.00560425"
"Pistes cyclables";"BOULEVARD DAVOUT";"20";"79.35240072"
"Bandes cyclables";"RUE NAVIER";"17";"23.61419795"
"Pistes cyclables";"RUE EDOUARD PAILLERON";"19";"157.30554398"
"Pistes cyclables";"RUE MANIN";"19";"172.66361867"
"Pistes cyclables";"RUE DE TANGER";"19";"231.1375471"
"Pistes cyclables";"RUE DE TANGER";"19";"56.05424327"
"Pistes cyclables";"RUE CARDINET";"17";"12.01917522"
"Bandes cyclables";"RUE DU DOCTEUR PAUL BROUSSE";"17";"17.91197454"
"Pistes cyclables";"RUE ABEL";"12";"106.2329003"
"Pistes cyclables";"Quai de la Tournelle";"5";"16.54096727"
"Pistes cyclables";"Quai de Montebello";"5";"55.95955151"
"Pistes cyclables";"QUAI DE LA RAPEE";"12";"30.04006788"
"Pistes cyclables";"RUE RENE BOULANGER";"3";"7.51130225"
"Bandes cyclables";"BOULEVARD DE CHARONNE";"11";"347.40882491"
"Bandes cyclables";"BOULEVARD DE CHARONNE";"11";"121.07651055"
"Bandes cyclables";"RUE DE RENNES";"6";"56.13447882"
"Bandes cyclables";"BOULEVARD DE GRENELLE";"15";"35.7047046"
"Bandes cyclables";"RUE BLANCHE";"9";"51.56851262"
"Pistes cyclables";"QUAI D IVRY";"13";"6.63720924"
"Bandes cyclables";"BOULEVARD POISSONNIERE";"2";"18.19825601"
"Pistes cyclables";"AVENUE DAUMESNIL";"12";"37.3051199"
"Pistes cyclables";"BOULEVARD DES BATIGNOLLES";"8";"139.8392954"
"Bandes cyclables";"RUE DU FER A MOULIN";"5";"54.55331906"
"Couloirs de bus ouverts aux vélos";"RUE D AMSTERDAM";"8";"27.71464996"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DES CAPUCINES";"9";"108.53812015"
"Couloirs de bus ouverts aux vélos";"AVENUE DE L OPERA";"2";"20.5617544"
"Couloirs de bus ouverts aux vélos";"AVENUE MARCEAU";"8";"248.50017037"
"Couloirs de bus ouverts aux vélos";"RUE DE LA PEPINIERE";"8";"18.77724708"
"Couloirs de bus ouverts aux vélos";"RUE DE ROME";"8";"82.63153217"
"Pistes cyclables";"BOULEVARD DE MAGENTA";"10";"19.5396729"
"Pistes cyclables";"BOULEVARD DE MAGENTA";"10";"19.55911044"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT-DENIS";"10";"53.45507314"
"Pistes cyclables";"RUE D AUBERVILLIERS";"18";"245.95317306"
"Pistes cyclables";"AVENUE DE L HIPPODROME";"16";"74.1580998"
"Pistes cyclables";"AVENUE DE L HIPPODROME";"16";"158.59367252"
"Bandes cyclables";"RUE DE CLERY";"2";"16.53993124"
"Bandes cyclables";"RUE DE CLERY";"2";"120.44780336"
"Bandes cyclables";"RUE D AUBERVILLIERS";"18";"20.70919419"
"Pistes cyclables";"QUAI DE SEINE";"19";"866.68263687"
"Pistes cyclables";"QUAI DE LA LOIRE";"19";"874.49260293"
"Pistes cyclables";"BOULEVARD PEREIRE";"17";"24.5532878"
"Couloirs de bus ouverts aux vélos";"RUE DE RICHELIEU";"1";"17.50597856"
"Couloirs de bus ouverts aux vélos";"PLACE DE CLICHY";"17";"13.24631636"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DES BATIGNOLLES";"17";"70.68893396"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DES BATIGNOLLES";"17";"78.03037836"
"Couloirs de bus ouverts aux vélos";"RUE LAFAYETTE";"9";"24.00708045"
"Couloirs de bus ouverts aux vélos";"RUE LAFAYETTE";"10";"97.86976523"
"Pistes cyclables";"QUAI DE JEMMAPES";"10";"76.17382485"
"Bandes cyclables";"RUE EUGENE VARLIN";"10";"33.62584982"
"Pistes cyclables";"BOULEVARD DE MAGENTA";"10";"8.47308799"
"Pistes cyclables";"BOULEVARD DE MAGENTA";"10";"19.3547374"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DE STRASBOURG";"10";"30.85631011"
"Bandes cyclables";"RUE DE ROME";"17";"14.37495849"
"Pistes cyclables";"BOULEVARD GARIBALDI";"15";"4.01941427"
"Pistes cyclables";"BOULEVARD DE LA CHAPELLE";"10";"10.26380998"
"Pistes cyclables";"PLACE DE LA RESISTANCE";"7";"41.31178974"
"Pistes cyclables";"BOULEVARD DE LA BASTILLE";"12";"45.49929293"
"Pistes cyclables";"BOULEVARD DE LA BASTILLE";"12";"9.4546115"
"Pistes cyclables";"BOULEVARD PONIATOWSKI";"12";"441.50358832"
"Pistes cyclables";"RUE DE LA PEPINIERE";"8";"16.49219917"
"Couloirs de bus ouverts aux vélos";"AVENUE DAUMESNIL";"12";"21.65263844"
"Bandes cyclables";"AVENUE DE LA PORTE DE VITRY";"13";"6.75275105"
"Pistes cyclables";"BOULEVARD DU GENERAL JEAN SIMON";"13";"14.68127979"
"Pistes cyclables";"BOULEVARD DU GENERAL JEAN SIMON";"13";"62.67526355"
"Couloirs de bus ouverts aux vélos";"RUE DESAIX";"15";"11.50102171"
"Pistes cyclables";"BOULEVARD DE GRENELLE";"15";"44.90003654"
"Bandes cyclables";"RUE DE MONTYON";"9";"17.97939476"
"Pistes cyclables";"RUE LAFAYETTE";"10";"124.47665998"
"Pistes cyclables";"RUE LAFAYETTE";"9";"234.11713933"
"Couloirs de bus ouverts aux vélos";"RUE D AMSTERDAM";"8";"197.15948104"
"Couloirs de bus ouverts aux vélos";"RUE LAFAYETTE";"9";"27.21825379"
"Pistes cyclables";"BOULEVARD DE CLICHY";"9";"27.71572565"
"Pistes cyclables";"BOULEVARD DE ROCHECHOUART";"9";"149.20799885"
"Pistes cyclables";"QUAI D ORSAY";"7";"15.64360925"
"Pistes cyclables";"QUAI D ORSAY";"7";"24.71649124"
"Pistes cyclables";"Boulevard de Sébastopol";"1";"868.16976888"
"Pistes cyclables";"Rue du 8 mai 1945";"10";"131.68223738"
"Pistes cyclables";"Boulevard Arago";"13";"4.78241072"
"Pistes cyclables";"Boulevard Arago";"13";"42.93733867"
"Bandes cyclables";"Boulevard Arago";"13";"10.87193894"
"Bandes cyclables";"AVENUE DE VILLIERS";"17";"30.3031888"
"Bandes cyclables";"RUE DE LOURMEL";"15";"77.48754541"
"Bandes cyclables";"RUE DE PALESTRO";"2";"82.65534306"
"Pistes cyclables";"QUAI DE LA LOIRE";"19";"8.42368597"
"Pistes cyclables";"AVENUE JEAN JAURES";"19";"101.27401658"
"Pistes cyclables";"BOULEVARD RASPAIL";"14";"24.07293497"
"Couloirs de bus ouverts aux vélos";"RUE DE L AMIRAL MOUCHEZ";"13";"133.07962131"
"Couloirs de bus ouverts aux vélos";"RUE LAFAYETTE";"9";"18.669384"
"Pistes cyclables";"COURS ALBERT 1ER";"8";"11.88763322"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DU MONTPARNASSE";"6";"224.97354068"
"Bandes cyclables";"Rue Louis Delaporte";"20";"69.62525764"
"Pistes cyclables";"Avenue des Champs-Elysées";"8";"10.62885849"
"Pistes cyclables";"Rue Froidevaux";"14";"57.32631927"
"Pistes cyclables";"Rue Froidevaux";"14";"176.8021227"
"Pistes cyclables";"Quai de la Gare";"13";"56.63885398"
"Pistes cyclables";"Avenue des Champs-Elysées";"8";"13.14067068"
"Pistes cyclables";"Rampe Van Loo";"16";"96.49260675"
"Pistes cyclables";"Quai d'Austelitz";"13";"40.69694661"
"Pistes cyclables";"Place de l'Alma";"8";"22.95711652"
"Couloirs de bus ouverts aux vélos";"Rue de Tolbiac";"13";"35.04180242"
"Bandes cyclables";"Boulevard Bessières";"17";"30.29698783"
"Pistes cyclables";"Rue de Presbourg";"16";"35.62106193"
"Pistes cyclables";"Avenue de la Porte d'Ivry";"13";"120.61222871"
"Pistes cyclables";"Avenue de la Porte d'Ivry";"13";"3.92304905"
"Pistes cyclables";"Avenue de la Porte d'Ivry";"13";"3.73619924"
"Bandes cyclables";"RUE DAREAU";"14";"8.2097849"
"Bandes cyclables";"RUE ORFILA";"20";"100.32038074"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT GERMAIN";"5";"65.57004575"
"Pistes cyclables";"Place de la Bastille";"4";"149.30067588"
"Pistes cyclables";"QUAI DE VALMY";"10";"12.57524502"
"Pistes cyclables";"BOULEVARD DE LA VILLETTE";"19";"13.34566878"
"Pistes cyclables";"Avenue de Flandre";"19";"10.08898532"
"Pistes cyclables";"BOULEVARD DE BELLEVILLE";"11";"47.69357229"
"Bandes cyclables";"Boulevard Voltaire";"11";"8.94908821"
"Pistes cyclables";"Boulevard Voltaire";"11";"8.88404665"
"Pistes cyclables";"Boulevard Voltaire";"11";"30.16286113"
"Pistes cyclables";"Boulevard Voltaire";"11";"4.59313379"
"Bandes cyclables";"RUE DU GENERAL BRUNET";"19";"25.7414737"
"Pistes cyclables";"Boulevard Berthier";"17";"26.50918183"
"Bandes cyclables";"Rue Falguière";"15";"452.76795678"
"Pistes cyclables";"Rue des Plantes";"14";"7.77640948"
"Pistes cyclables";"Rue des Plantes";"14";"23.88067832"
"Pistes cyclables";"Boulevard de Picpus";"12";"19.13881411"
"Pistes cyclables";"Avenue Franklin Roosevelt";"8";"16.15884474"
"Pistes cyclables";"Avenue Franklin Roosevelt";"8";"73.02713264"
"Couloirs de bus ouverts aux vélos";"AVENUE DE LA PORTE D ASNIERES";"17";"35.14670848"
"Pistes cyclables";"ESPLANADE SAINT-LOUIS";"12";"35.82387007"
"Pistes cyclables";"Rue Saint-Antoine";"4";"9.93160105"
"Pistes cyclables";"Avenue de la Porte d'Ivry";"13";"3.49456921"
"Pistes cyclables";"Boulevard Voltaire";"11";"4.62225782"
"Bandes cyclables";"Rue Montmartre";"1";"8.75338199"
"Bandes cyclables";"Rue Thimonnier";"9";"95.61160061"
"Couloirs de bus ouverts aux vélos";"RUE D AUBERVILLIERS";"19";"298.21801429"
"Pistes cyclables";"BOULEVARD AUGUSTE BLANQUI";"13";"33.979774"
"Bandes cyclables";"RUE SAINT JACQUES";"5";"290.85598979"
"Bandes cyclables";"RUE MONGE";"5";"63.57226445"
"Pistes cyclables";"Rue de Tilsitt";"17";"27.65027466"
"Pistes cyclables";"Rue de Presbourg";"16";"47.390716"
"Bandes cyclables";"BOULEVARD MALESHERBES";"8";"143.96362107"
"Pistes cyclables";"BOULEVARD DE GRENELLE";"15";"26.96541372"
"Bandes cyclables";"Rue Tristan Tzara";"18";"93.37598717"
"Pistes cyclables";"Rue de Courcelles";"17";"8.22188871"
"Bandes cyclables";"Boulevard Berthier";"17";"16.75540303"
"Pistes cyclables";"Boulevard Voltaire";"11";"45.54158268"
"Pistes cyclables";"Boulevard Voltaire";"11";"38.34476471"
"Pistes cyclables";"Boulevard Voltaire";"11";"4.79148385"
"Pistes cyclables";"ALLEE DE LONGCHAMP";"16";"569.32736222"
"Pistes cyclables";"BOULEVARD AUGUSTE BLANQUI";"13";"46.4004003"
"Bandes cyclables";"RUE DES CINQ DIAMANTS";"13";"29.09225454"
"Pistes cyclables";"BOULEVARD SAINT JACQUES";"14";"36.42074193"
"Couloirs de bus ouverts aux vélos";"AVENUE DE L OBSERVATOIRE";"14";"99.55439799"
"Pistes cyclables";"AVENUE DENFERT ROCHEREAU";"14";"7.37271981"
"Pistes cyclables";"RUE DE LA TOMBE ISSOIRE";"14";"33.83639366"
"Bandes cyclables";"RUE HALLE";"14";"92.5934543"
"Bandes cyclables";"RUE HALLE";"14";"33.42726238"
"Couloirs de bus ouverts aux vélos";"BOULEVARD ARAGO";"13";"137.12290775"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT GERMAIN";"5";"13.53614121"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT GERMAIN";"5";"50.92811472"
"Couloirs de bus ouverts aux vélos";"PLACE DU 25 AOUT 1944";"14";"59.95425059"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DES INVALIDES";"7";"24.46796818"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT GERMAIN";"7";"58.83697894"
"Pistes cyclables";"QUAI DES CELESTINS";"4";"6.26821086"
"Pistes cyclables";"BOULEVARD MORLAND";"4";"72.70884386"
"Pistes cyclables";"BOULEVARD DES INVALIDES";"7";"187.54410008"
"Bandes cyclables";"RUE DE LA TOMBE ISSOIRE";"14";"7.49222835"
"Bandes cyclables";"RUE SARRETTE";"14";"54.35706809"
"Bandes cyclables";"RUE SARRETTE";"14";"12.65891373"
"Pistes cyclables";"BOULEVARD MORLAND";"4";"9.5692194"
"Couloirs de bus ouverts aux vélos";"BOULEVARD HENRI IV";"4";"70.86276922"
"Bandes cyclables";"RUE PAVEE";"4";"11.80827084"
"Couloirs de bus ouverts aux vélos";"BOULEVARD BEAUMARCHAIS";"3";"80.38071505"
"Bandes cyclables";"RUE NECKER";"4";"40.22439922"
"Bandes cyclables";"COURS ALBERT 1ER";"8";"38.98616284"
"Couloirs de bus ouverts aux vélos";"RUE DE ROME";"8";"16.76997319"
"Bandes cyclables";"BOULEVARD MALESHERBES";"8";"46.45458443"
"Pistes cyclables";"QUAI DE LA RAPEE";"12";"17.18529913"
"Pistes cyclables";"BOULEVARD JOURDAN";"14";"210.12802061"
"Pistes cyclables";"BOULEVARD JOURDAN";"14";"10.83914304"
"Pistes cyclables";"BOULEVARD LEFEBVRE";"15";"320.33781617"
"Pistes cyclables";"BOULEVARD VICTOR";"15";"120.85994847"
"Pistes cyclables";"BOULEVARD VICTOR";"15";"103.41744747"
"Couloirs de bus ouverts aux vélos";"RUE DE RIVOLI";"1";"109.11112645"
"Couloirs de bus ouverts aux vélos";"Rue de Rivoli";"1";"62.43894598"
"Pistes cyclables";"BOULEVARD LEFEBVRE";"15";"7.02955776"
"Pistes cyclables";"BOULEVARD BRUNE";"14";"84.51355185"
"Pistes cyclables";"BOULEVARD MASSENA";"13";"230.44472753"
"Pistes cyclables";"BOULEVARD MASSENA";"13";"158.16063271"
"Pistes cyclables";"RUE HENRY FARMAN";"15";"27.93493898"
"Couloirs de bus ouverts aux vélos";"RUE DE VAUGIRARD";"15";"86.068296"
"Pistes cyclables";"BOULEVARD KELLERMANN";"13";"25.73220913"
"Pistes cyclables";"BOULEVARD KELLERMANN";"13";"14.58891469"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT GERMAIN";"7";"42.96823851"
"Couloirs de bus ouverts aux vélos";"QUAI DES TUILERIES";"1";"11.74179187"
"Pistes cyclables";"RUE VERCINGETORIX";"14";"194.95486289"
"Couloirs de bus ouverts aux vélos";"BOULEVARD RASPAIL";"6";"23.94621431"
"Couloirs de bus ouverts aux vélos";"RUE D ALESIA";"14";"20.46900938"
"Couloirs de bus ouverts aux vélos";"RUE LABROUSTE";"15";"76.59134375"
"Couloirs de bus ouverts aux vélos";"RUE LECOURBE";"15";"174.81984531"
"Couloirs de bus ouverts aux vélos";"RUE CAMBRONNE";"15";"164.90892775"
"Couloirs de bus ouverts aux vélos";"RUE DE LA CONVENTION";"15";"46.21213073"
"Couloirs de bus ouverts aux vélos";"AVENUE EMILE ZOLA";"15";"38.98172668"
"Bandes cyclables";"AVENUE FOCH";"16";"32.05314754"
"Bandes cyclables";"PLACE DU MARECHAL DE LATTRE DE TASSIGNY";"16";"49.19048787"
"Couloirs de bus ouverts aux vélos";"AVENUE MONTAIGNE";"8";"111.4718971"
"Pistes cyclables";"BOULEVARD DE L AMIRAL BRUIX";"16";"26.5102048"
"Pistes cyclables";"Place de Colombie";"16";"133.84823209"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DE L AMIRAL BRUIX";"16";"117.61368257"
"Pistes cyclables";"AVENUE DE SAINT CLOUD";"16";"24.98208203"
"Couloirs de bus ouverts aux vélos";"PONT DE GRENELLE";"15";"124.32523129"
"Pistes cyclables";"AVENUE HENRI MARTIN";"16";"15.75307005"
"Pistes cyclables";"Boulevard Bessières";"17";"13.93090761"
"Pistes cyclables";"Avenue de la Porte de Saint-Ouen";"18";"18.72558005"
"Bandes cyclables";"Rue Paganini";"20";"57.40813242"
"Pistes cyclables";"Rue de Rivoli";"1";"352.51683498"
"Bandes cyclables";"Boulevard Bessières";"17";"25.50702054"
"Bandes cyclables";"Boulevard Bessières";"17";"7.52636946"
"Bandes cyclables";"Boulevard Bessières";"17";"20.59769191"
"Pistes cyclables";"Rue de Rivoli";"4";"20.17267271"
"Pistes cyclables";"Place Auguste Baron";"19";"11.99148275"
"Pistes cyclables";"Place Auguste Baron";"19";"17.72909553"
"Pistes cyclables";"Place Auguste Baron";"19";"8.48464571"
"Pistes cyclables";"Place Auguste Baron";"19";"8.83472565"
"Bandes cyclables";"RUE SAINT PAUL";"4";"11.5253411"
"Bandes cyclables";"RUE DUPLEX";"15";"49.27430901"
"Couloirs de bus ouverts aux vélos";"Place Skanderbeg";"18";"18.88814948"
"Pistes cyclables";"Boulevard Arago";"14";"5.94361409"
"Pistes cyclables";"PONT DE BIR HAKEIM";"15";"8.39831367"
"Bandes cyclables";"Avenue de France";"13";"238.14263951"
"Couloirs de bus ouverts aux vélos";"Boulevard Diderot";"12";"67.47191164"
"Pistes cyclables";"Rue Saint-Antoine";"4";"47.3812269"
"Bandes cyclables";"RUE DE PROVENCE";"9";"28.02140266"
"Bandes cyclables";"Boulevard du Bois le Prêtre";"17";"136.7853588"
"Bandes cyclables";"Boulevard du Bois le Prêtre";"17";"35.89450258"
"Pistes cyclables";"Avenue la de Porte des Ternes";"17";"14.54929333"
"Bandes cyclables";"PLACE ALPHONSE LAVERAN";"5";"27.4622546"
"Pistes cyclables";"Quai de Montebello";"5";"10.06920244"
"Pistes cyclables";"Quai Saint-Michel";"5";"162.3684551"
"Pistes cyclables";"PLACE D ITALIE";"13";"9.0150731"
"Bandes cyclables";"AVENUE D ITALIE";"13";"26.9773284"
"Pistes cyclables";"AVENUE D ITALIE";"13";"15.66005766"
"Pistes cyclables";"QUAI PANHARD ET LEVASSOR";"13";"6.18742913"
"Couloirs de bus ouverts aux vélos";"AVENUE DELCASSE";"8";"92.53622778"
"Couloirs de bus ouverts aux vélos";"BOULEVARD VINCENT AURIOL";"13";"95.09064124"
"Couloirs de bus ouverts aux vélos";"AVENUE DE LA PORTE D ITALIE";"13";"33.93999081"
"Couloirs de bus ouverts aux vélos";"AVENUE DES GOBELINS";"13";"23.29869551"
"Couloirs de bus ouverts aux vélos";"AVENUE DES GOBELINS";"13";"12.71746986"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT MARCEL";"13";"21.73709244"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT MARCEL";"13";"42.7304086"
"Couloirs de bus ouverts aux vélos";"PLACE VALHUBERT";"13";"7.37171526"
"Couloirs de bus ouverts aux vélos";"PONT D AUSTERLITZ";"12";"85.70240285"
"Pistes cyclables";"QUAI DE LA RAPEE";"12";"72.09626527"
"Pistes cyclables";"BOULEVARD VINCENT AURIOL";"13";"5.86634027"
"Bandes cyclables";"Boulevard Bessières";"17";"13.0213065"
"Pistes cyclables";"BOULEVARD VINCENT AURIOL";"13";"19.39599181"
"Pistes cyclables";"QUAI PANHARD ET LEVASSOR";"13";"6.44140162"
"Bandes cyclables";"AVENUE PIERRE MENDES FRANCE";"13";"276.87849584"
"Couloirs de bus ouverts aux vélos";"RUE DE RIVOLI";"4";"24.42009753"
"Pistes cyclables";"Quai d'Austerlitz";"13";"100.7302314"
"Bandes cyclables";"AVENUE DE FRANCE";"13";"146.17492714"
"Bandes cyclables";"RUE ROYALE";"8";"32.05645398"
"Bandes cyclables";"PLACE DE LA MADELEINE";"8";"11.85164408"
"Bandes cyclables";"Rue de la Glacière";"13";"202.54517292"
"Bandes cyclables";"RUE ROYALE";"8";"9.92425106"
"Bandes cyclables";"BOULEVARD MALESHERBES";"8";"52.71395059"
"Bandes cyclables";"BOULEVARD MALESHERBES";"8";"64.80104534"
"Bandes cyclables";"Rue Frédéric Brnet";"17";"5.27705992"
"Bandes cyclables";"Rue Francis de Croisset";"18";"69.44827724"
"Bandes cyclables";"Rue Jean Cocteau";"18";"62.25340098"
"Bandes cyclables";"Quai Louis Blériot";"16";"93.01372999"
"Pistes cyclables";"Coulée verte René Dumont";"12";"565.33573245"
"Bandes cyclables";"Avenue de Clichy";"17";"4.79476437"
"Bandes cyclables";"Avenue de Clichy";"17";"8.41975827"
"Bandes cyclables";"BOULEVARD MORTIER";"20";"26.71483522"
"Pistes cyclables";"BOULEVARD DE MAGENTA";"10";"11.87556335"
"Pistes cyclables";"Rue Quentin-Bauchart";"8";"8.15691935"
"Pistes cyclables";"Avenue de la Porte de la Plaine";"15";"112.16520702"
"Bandes cyclables";"Rue Henri Ribière";"19";"185.82512546"
"Bandes cyclables";"PLACE DE LA MADELEINE";"8";"26.9336278"
"Pistes cyclables";"Avenue de la Porte de la Plaine";"15";"10.79696678"
"Pistes cyclables";"Place des Insurgés de Varsovie";"15";"32.53807013"
"Pistes cyclables";"Place des Insurgés de Varsovie";"";"12.70602146"
"Pistes cyclables";"BOULEVARD DE MAGENTA";"10";"8.02886312"
"Bandes cyclables";"Avenue de la Bourdonnais";"7";"3.2745274"
"Pistes cyclables";"Place des Insurgés de Varsovie";"15";"20.4102104"
"Pistes cyclables";"Place Gambetta";"20";"13.07082901"
"Bandes cyclables";"Rue Gozlin";"6";"53.31907967"
"Pistes cyclables";"RUE DE CHARENTON";"12";"15.2968118"
"Bandes cyclables";"Rue Huysmans";"6";"109.88237705"
"Pistes cyclables";"Rue François Ier";"8";"10.03279162"
"Bandes cyclables";"Rue du Loiret";"13";"106.66335011"
"Bandes cyclables";"Rue François Ier";"8";"13.02315849"
"Pistes cyclables";"Avenue Roger Cahen";"15";"12.59467363"
"Pistes cyclables";"Place Cambronne";"15";"133.71702696"
"Bandes cyclables";"Place Rio de Janeiro";"8";"9.2339173"
"Bandes cyclables";"Rue Marcadet";"18";"111.89837636"
"Bandes cyclables";"Place de Brazzaville";"15";"62.59511215"
