"typologie";"voie";"arrdt";"cycling_length"
"Pistes cyclables";"BOULEVARD PONIATOWSKI";"12";"11.0505522"
"Pistes cyclables";"BOULEVARD DU FORT DE VAUX";"17";"103.14042287"
"Bandes cyclables";"RUE THEODORE DE BANVILLE";"17";"48.87676653"
"Pistes cyclables";"AVENUE DE LA PORTE DU PRE SAINT-GERVAIS";"19";"20.40765747"
"Pistes cyclables";"COULEE VERTE RENE DUMONT";"12";"896.2706518"
"Pistes cyclables";"BOULEVARD D INDOCHINE";"19";"5.31736172"
"Bandes cyclables";"RUE BELGRAND";"20";"32.09851446"
"Pistes cyclables";"AVENUE DE LA PORTE DE BAGNOLET";"20";"168.26595696"
"Couloirs de bus ouverts aux vélos";"RUE ORDENER";"18";"42.81451523"
"Bandes cyclables";"PLACE D ALIGRE";"12";"137.23209407"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DE BELLEVILLE";"20";"10.99717234"
"Bandes cyclables";"AVENUE DE VILLIERS";"17";"46.49562786"
"Couloirs de bus ouverts aux vélos";"RUE MARX DORMOY";"18";"65.02869297"
"Pistes cyclables";"AVENUE DE LA PORTE DES POISSONNIERS";"18";"6.87989865"
"Pistes cyclables";"COURS DES MARECHAUX";"12";"7.70716079"
"Couloirs de bus ouverts aux vélos";"AVENUE DE LA PORTE DE CLIGNANCOURT";"18";"36.1855042"
"Couloirs de bus ouverts aux vélos";"BOULEVARD ORNANO";"18";"20.42605652"
"Pistes cyclables";"BOULEVARD VINCENT AURIOL";"13";"23.6665393"
"Pistes cyclables";"BOULEVARD BARBES";"18";"6.52138302"
"Couloirs de bus ouverts aux vélos";"BOULEVARD BARBES";"18";"11.92095018"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SERURIER";"19";"235.32406197"
"Couloirs de bus ouverts aux vélos";"RUE PETITOT";"19";"31.90844067"
"Pistes cyclables";"BOULEVARD DE PICPUS";"12";"30.29764229"
"Pistes cyclables";"RUE MARYSE HILSZ";"20";"30.75746836"
