"voie";"arrdt";"cycling_length"
"PLACE FELIX EBOUE";"12";"20.90902599"
"RUE DE PERREE";"3";"128.60093413"
"ROUTE DE TOURELLE";"12";"160.21252135"
"PORTE D AUBERVILLIERS";"18";"9.51428924"
"RUE ARTHUR RANC";"18";"38.90486584"
"AVENUE DE VILLIERS";"17";"52.26811439"
"AVENUE DE VILLIERS";"17";"35.34799377"
"AVENUE DE NOGENT";"12";"705.45049076"
"AVENUE DE NOGENT";"12";"47.43350502"
"BOULEVARD DE LA CHAPELLE";"18";"36.14588052"
"BOULEVARD DE LA CHAPELLE";"18";"137.8581807"
"RUE CURIAL";"19";"117.15219605"
"RUE ORFILA";"20";"196.99507408"
"BOULEVARD SOULT";"12";"73.83207322"
"BOULEVARD SOULT";"12";"11.32135387"
"RUE DAMREMONT";"18";"28.71664026"
"RUE DAMREMONT";"18";"17.9859346"
"AVENUE DE LA PORTE DU PRE SAINT-GERVAIS";"19";"310.23463324"
"AVENUE DE LA PORTE DU PRE SAINT-GERVAIS";"19";"25.74333707"
"AVENUE JEAN JAURES";"19";"36.03287693"
"AVENUE JEAN JAURES";"19";"14.2193148"
"RUE BELGRAND";"20";"22.54612352"
"RUE GUYNEMER";"6";"26.15360437"
"BOULEVARD HENRI IV";"4";"7.59451639"
"RUE DAMREMONT";"18";"7.75402935"
"BOULEVARD CARNOT";"12";"38.97037175"
"AVENUE CORENTIN CARIOU";"19";"137.71091698"
"AVENUE CORENTIN CARIOU";"19";"33.82897355"
"BOULEVARD DE LA VILLETTE";"19";"12.59440734"
"BOULEVARD DE LA VILLETTE";"19";"51.0895554"
"BOULEVARD MACDONALD";"19";"440.77805156"
"BOULEVARD MORTIER";"20";"157.93124391"
"PLACE DE LA PORTE DE BAGNOLET";"20";"16.03717406"
"AVENUE DE LA PORTE DE CLIGNANCOURT";"18";"21.84942524"
"AVENUE CORENTIN CARIOU";"19";"6.8326769"
"RUE ROUVET";"19";"50.06438103"
"BOULEVARD BARBES";"18";"7.7746117"
"AVENUE DE LA PORTE DE VINCENNES";"12";"39.79768749"
"RUE LOUIS LUMIERE";"20";"31.82411684"
"AVENUE DAUMESNIL";"12";"26.54200495"
"BOULEVARD SOULT";"12";"54.74550759"
"BOULEVARD DE CHARONNE";"20";"24.58922719"
"RUE ADOLPHE PENAUD";"20";"242.60040433"
"AVENUE DU BELVEDERE";"19";"34.75034901"
"Rue de Lyon";"12";"219.00623877"
"RUE MARYSE HILSZ";"20";"99.49596286"
"AVENUE DAUMESNIL";"12";"22.63674524"
"AVENUE DAUMESNIL";"12";"23.59069059"
"AVENUE DAUMESNIL";"12";"99.76440347"
"Boulevard du Bois le Prêtre";"17";"22.57591191"
"RUE LE BUA";"20";"97.23968701"
"RUE DU DOCTEUR PAQUELIN";"20";"69.11509066"
"RUE LOUIS LUMIERE";"20";"124.11714474"
"RUE LOUIS LUMIERE";"20";"31.74363338"
"RUE REBEVAL";"19";"8.94974115"
"PORTE DOREE";"12";"31.74713652"
"AVENUE JEAN JAURES";"19";"22.55848796"
"AVENUE JEAN JAURES";"19";"8.12849909"
"AVENUE JEAN JAURES";"19";"131.2099283"
"AVENUE DE SAINT-MANDE";"12";"51.6542575"
"AVENUE DAUMESNIL";"12";"23.5795052"
"PLACE FELIX EBOUE";"12";"26.63881363"
"BOULEVARD DIDEROT";"12";"65.06189622"
