"voie";"arrdt";"cycling_length"
"AVENUE DE POLOGNE";"16";"104.78503328"
"RUE DES SABLONS";"16";"78.6331558"
"CARREFOUR DE LONGCHAMP";"16";"40.82568325"
"RUE DAREAU";"14";"63.24246281"
"BOULEVARD AUGUSTE BLANQUI";"13";"9.67028348"
"BOULEVARD AUGUSTE BLANQUI";"13";"20.76312781"
"BOULEVARD AUGUSTE BLANQUI";"13";"23.29751233"
"BOULEVARD AUGUSTE BLANQUI";"13";"66.06904325"
"RUE DU FAUBOURG SAINT JACQUES";"14";"144.99432741"
"RUE DU FAUBOURG SAINT ANTOINE";"14";"38.95211435"
"AVENUE DENFERT ROCHEREAU";"14";"7.57940486"
"PLACE SAINT JACQUES";"14";"20.31624702"
"RUE HALLE";"14";"4.88816074"
"RUE DU PERE CORENTIN";"14";"35.539685"
"RUE DU PERE CORENTIN";"14";"55.42028632"
"RUE DU PERE CORENTIN";"14";"16.69526383"
"RUE DE LA TOMBE ISSOIRE";"14";"20.05883786"
"RUE DE LA TOMBE ISSOIRE";"14";"23.10305686"
"CARREFOUR DE L ODEON";"6";"18.35279328"
"QUAI DE L HOTEL DE VILLE";"4";"9.76096303"
"QUAI DE L HOTEL DE VILLE";"4";"9.41943639"
"PONT LOUIS PHILIPPE";"4";"96.79560048"
"QUAI DES CELESTINS";"4";"4.53770375"
"RUE DE L UNIVERSITE";"7";"201.8133671"
"RUE SAINT JACQUES";"5";"38.50209347"
"RUE DE LA TOMBE ISSOIRE";"14";"10.24411975"
"RUE DE LA TOMBE ISSOIRE";"14";"7.88513109"
"RUE DES ARTISTES";"14";"23.6681362"
"QUAI DE L HOTEL DE VILLE";"4";"14.0953834"
"PONT DE SULLY";"4";"61.65024804"
"BOULEVARD HENRI IV";"4";"20.87138364"
"BOULEVARD HENRI IV";"4";"42.28005202"
"COURS LA REINE";"8";"16.69058342"
"COURS ALBERT 1ER";"8";"7.20478069"
"COURS LA REINE";"8";"22.99353569"
"AVENUE DE FRANCE";"13";"94.50386406"
"QUAI DE VALMY";"10";"14.64659066"
"BOULEVARD DE MENILMONTANT";"11";"213.71955332"
"BOULEVARD DE MENILMONTANT";"11";"110.67605252"
"BOULEVARD DE CHARONNE";"11";"23.45670736"
"RUE DE MONTREUIL";"11";"17.37387306"
"BOULEVARD DE COURCELLES";"8";"50.24717404"
"BOULEVARD DES BATIGNOLLES";"8";"79.75360014"
"RUE LOUIS ARMAND";"15";"11.69918677"
"PLACE DU 18 JUIN 1940";"6";"27.86432766"
"PLACE DU CARDINAL AMETTE";"15";"136.81906014"
"RUE BLANCHE";"9";"72.52211035"
"QUAI D IVRY";"13";"37.65277015"
"BOULEVARD POISSONNIERE";"2";"22.56861897"
"AVENUE DAUMESNIL";"12";"53.79510857"
"AVENUE DAUMESNIL";"12";"37.18471716"
"BOULEVARD DE COURCELLES";"17";"23.51762311"
"BOULEVARD RICHARD LENOIR";"11";"63.77581208"
"BOULEVARD RICHARD LENOIR";"11";"82.13056047"
"QUAI DE JEMMAPES";"10";"25.70029209"
"RUE FROMENT";"11";"37.19462035"
"RUE DE L ORILLON";"11";"38.26711293"
"RUE JULIETTE DODU";"10";"90.19376695"
"RUE DE PROVENCE";"9";"15.52196609"
"RUE DE PROVENCE";"9";"19.26318898"
"RUE DU MOULIN DES PRES";"13";"5.41907897"
"BOULEVARD DE MAGENTA";"10";"89.26160665"
"BOULEVARD DE MAGENTA";"10";"6.18512179"
"PLACE MARCEL CERDAN";"15";"11.47264806"
"RUE D AUBERVILLIERS";"18";"132.01511361"
"RUE DE CLERY";"2";"42.14589463"
"BOULEVARD DES BATIGNOLLES";"8";"143.64740438"
"BOULEVARD DES BATIGNOLLES";"8";"96.87590223"
"BOULEVARD DE LA VILLETTE";"10";"18.54476742"
"BOULEVARD DE LA VILLETTE";"10";"18.13353915"
"RUE DE PROVENCE";"9";"17.47585836"
"RUE RICHER";"9";"72.50530888"
"BOULEVARD DES BATIGNOLLES";"8";"79.14169944"
"AVENUE DAUMESNIL";"12";"10.30721505"
"BOULEVARD DE MAGENTA";"10";"19.39180927"
"BOULEVARD DE MAGENTA";"10";"42.21380458"
"QUAI DE JEMMAPES";"10";"13.51051218"
"QUAI DE JEMMAPES";"10";"27.97358464"
"BOULEVARD DE MAGENTA";"10";"157.84222949"
"QUAI BRANLY";"7";"11.9392768"
"BOULEVARD GARIBALDI";"15";"27.12416591"
"RUE ROSSINI";"9";"42.45717474"
"AVENUE DE LA PORTE DE VITRY";"13";"10.1711908"
"AVENUE DE FRANCE";"13";"10.81491523"
"RUE DE ROME";"17";"18.71623215"
"RUE CARDINET";"17";"6.06339493"
"RUE CARDINET";"17";"7.13893967"
"BOULEVARD GARIBALDI";"15";"15.47008368"
"BOULEVARD GARIBALDI";"15";"14.59864652"
"BOULEVARD GARIBALDI";"15";"23.56816942"
"BOULEVARD GARIBALDI";"15";"3.85151844"
"BOULEVARD GARIBALDI";"15";"4.11899582"
"BOULEVARD GARIBALDI";"15";"18.25572519"
"RUE POISSONNIERE";"2";"229.03557592"
"BOULEVARD DE LA VILLETTE";"10";"21.61670838"
"Quai d'Issy-les-Moulineaux";"15";"251.33355292"
"RUE JEAN COLLY";"13";"122.31404182"
"BOULEVARD DE LA BASTILLE";"12";"8.63817539"
"QUAI DE LA RAPEE";"12";"8.65225577"
"BOULEVARD SOULT";"12";"99.71776544"
"BOULEVARD PONIATOWSKI";"12";"358.01830549"
"AVENUE DE LA PORTE DE VITRY";"13";"39.73887827"
"PONT NATIONAL";"12";"145.1670001"
"RUE LAFAYETTE";"9";"34.35537818"
"BOULEVARD DE CLICHY";"9";"41.09395313"
"BOULEVARD DE CLICHY";"9";"21.51060269"
"BOULEVARD DE GRENELLE";"15";"50.20133512"
"BOULEVARD DE GRENELLE";"15";"14.74316552"
"PLACE DE LA REPUBLIQUE";"3";"22.98865269"
"QUAI ANDRE CITROEN";"15";"7.98456696"
"RUE NICOLAI";"12";"46.64395955"
"RUE CHARLES HERMITE";"18";"94.92426807"
"RUE RENE BINET";"18";"38.92732404"
"BOULEVARD DE LA CHAPELLE";"18";"20.50893199"
"BOULEVARD MACDONALD";"19";"73.88065906"
"BOULEVARD MACDONALD";"19";"5.64776207"
"AVENUE CORENTIN CARIOU";"19";"55.04241873"
"RUE ORFILA";"20";"52.11445398"
"RUE DAMREMONT";"18";"2.86718893"
"RUE DAMREMONT";"18";"36.12837791"
"AVENUE DE GRAVELLE";"12";"9.30048417"
"BOULEVARD PONIATOWSKI";"12";"3.81683165"
"BOULEVARD PONIATOWSKI";"12";"105.92951718"
"AVENUE JEAN JAURES";"19";"21.1209417"
"AVENUE JEAN JAURES";"19";"20.47158904"
"BOULEVARD DU FORT DE VAUX";"17";"105.83355359"
"RUE DES BATIGNOLLES";"17";"64.35506294"
"RUE DES BATIGNOLLES";"17";"115.54451301"
"AVENUE DE LA PORTE DE VINCENNES";"20";"143.98022969"
"BOULEVARD DE LA VILLETTE";"19";"33.92257364"
"BOULEVARD DE BELLEVILLE";"20";"26.20049005"
"BOULEVARD DE BELLEVILLE";"20";"19.41592497"
"BOULEVARD MALESHERBES";"17";"17.51423809"
"BOULEVARD MACDONALD";"19";"35.20391482"
"ESPLANADE SAINT-LOUIS";"12";"10.40386044"
"RUE RIQUET";"18";"250.26214681"
"RUE RIQUET";"18";"79.51954435"
"BOULEVARD MORTIER";"20";"6.93661413"
"BOULEVARD MORTIER";"20";"10.2545973"
"BOULEVARD MORTIER";"20";"115.98357708"
"PLACE DE LA PORTE DE BAGNOLET";"20";"4.5374201"
"RUE BELGRAND";"20";"25.30894072"
"BOULEVARD SERURIER";"19";"191.960047"
"RUE LE VAU";"20";"50.10016878"
"BOULEVARD BARBES";"18";"96.31947253"
"AVENUE COURTELINE";"12";"19.96669091"
"RUE LOUIS LUMIERE";"20";"156.31797344"
"RUE DES DOCTEURS DEJERINE";"20";"260.2903576"
"BOULEVARD DE GUYANE";"12";"444.66093323"
"AVENUE COURTELINE";"12";"12.02465389"
"BOULEVARD DE MENILMONTANT";"20";"22.53517695"
"AVENUE DE LA PORTE DE VINCENNES";"12";"14.89677701"
"COURS DE VINCENNES";"20";"11.48885974"
"BOULEVARD SOULT";"12";"19.38605734"
"BOULEVARD SOULT";"12";"134.36300087"
"BOULEVARD SOULT";"12";"16.62974563"
"PLACE EDOUARD RENARD";"12";"11.54612031"
"PLACE DU CARDINAL LAVIGERIE";"12";"151.49948928"
"RUE DE LAGNY";"20";"6.08683797"
"RUE DU POTEAU";"18";"29.9642101"
"BOULEVARD DE CHARONNE";"20";"12.58564497"
"BOULEVARD DE CHARONNE";"20";"7.8092922"
"BOULEVARD D INDOCHINE";"19";"208.06544947"
"BOULEVARD DAVOUT";"20";"119.47407467"
"Route des Lacs à Passy";"16";"17.00126828"
"AVENUE DAUMESNIL";"12";"15.44989483"
"AVENUE DAUMESNIL";"12";"15.92936787"
"AVENUE DE LA PORTE DE BAGNOLET";"20";"84.27351755"
"BOULEVARD BARBES";"18";"8.07483455"
"RUE DE RAMBOUILLET";"12";"126.9837289"
"AVENUE JEAN JAURES";"19";"145.75097906"
"AVENUE JEAN JAURES";"19";"8.7921748"
"AVENUE DE LA PORTE DE CHARENTON";"12";"14.9852179"
"AVENUE DE LA PORTE DE CHARENTON";"12";"131.65716334"
"RUE DE CHARENTON";"12";"17.70864235"
"RUE DE CHARENTON";"12";"8.8721402"
"PLACE FELIX EBOUE";"12";"9.87352984"
"PLACE FELIX EBOUE";"12";"14.39374059"
"Rue Lagrange";"5";"66.95733233"
"Rue Dante";"5";"5.0271589"
"Rue Lagrange";"5";"19.78159388"
"Place Skanderbeg";"18";"36.49420617"
"RUE LAMBERT";"18";"58.3823892"
"RUE BACHELET";"18";"10.98990335"
"BOULEVARD MACDONALD";"19";"43.2631379"
"RUE LE VAU";"20";"8.7583366"
"RUE DE LA MARSEILLAISE";"19";"72.1255981"
"BOULEVARD MALESHERBES";"17";"32.45536353"
"AVENUE DE VILLIERS";"17";"73.83602477"
"AVENUE DE VILLIERS";"17";"272.87572808"
"BOULEVARD GOUVION SAINT CYR";"17";"79.22571063"
"ESPLANADE SAINT-LOUIS";"12";"64.24327501"
"BOULEVARD DAVOUT";"20";"36.33914758"
"RUE EDOUARD PAILLERON";"19";"133.16219294"
"RUE EDOUARD PAILLERON";"19";"48.94202893"
"BOULEVARD DE LA VILLETTE";"19";"15.54152698"
"RUE CARDINET";"17";"104.74219701"
"BOULEVARD DIDEROT";"12";"9.66851107"
"BOULEVARD MALESHERBES";"8";"105.63796567"
"PLACE FELIX EBOUE";"12";"20.93225691"
"RUE DU COTENTIN";"15";"26.59587641"
"Quai Saint-Michel";"5";"31.60721514"
"Rue Saint-Antoine";"4";"17.03200089"
"Boulevard Arago";"13";"29.81292115"
"Avenue Charles de Foucauld";"12";"94.64037924"
"QUAI DE JEMMAPES";"10";"61.86108317"
"RUE DE MONTREUIL";"11";"129.3919514"
"Rue Gassendi";"14";"111.67227273"
"PLACE D ITALIE";"13";"44.45814202"
"RUE DE RENNES";"6";"32.49936418"
"BOULEVARD DE COURCELLES";"17";"14.67447473"
"BOULEVARD DES BATIGNOLLES";"17";"14.60293281"
"AVENUE JEAN JAURES";"19";"9.21699471"
"RUE DE CLERY";"2";"15.90327146"
"BOULEVARD DE GRENELLE";"15";"23.05261898"
"PORTE MAILLOT";"16";"60.24513893"
"AVENUE DU MARECHAL GALLIENI";"7";"164.41975123"
"RUE DE CONSTANTINE";"7";"18.78021128"
"Rue Lagrange";"5";"29.91962988"
"Avenue des Champs-Elysées";"8";"24.42086014"
"Quai de la Gare";"13";"56.63885398"
"Quai d'Austelitz";"13";"10.19947233"
"Place de l'Alma";"16";"11.71618764"
"Rue de Tolbiac";"13";"23.63680811"
"Rue Reynaldo Hahn";"20";"129.99851107"
"Boulevard Bessières";"17";"16.87366315"
"AVENUE DE NEW YORK";"16";"34.09850045"
"Rue de Presbourg";"8";"44.19044518"
"Rue de Presbourg";"8";"31.83062088"
"Avenue de la Porte d'Ivry";"13";"17.82664212"
"BOULEVARD AUGUSTE BLANQUI";"13";"33.19000985"
"Rue Saint-Antoine";"4";"5.53310098"
"Rue de Tilsitt";"8";"35.83984668"
"Boulevard Voltaire";"11";"20.83661546"
"Route de la Pyramide";"12";"655.82539248"
"BOULEVARD GARIBALDI";"15";"18.39918313"
"Rue de Tilsitt";"17";"11.02900826"
"Rue Joseph Chailley";"12";"107.35583999"
"BOULEVARD SAINT JACQUES";"14";"5.74125769"
"RUE POUCHET";"17";"129.15417909"
"Rue des Plantes";"14";"3.53210361"
"Rue des Plantes";"14";"36.33027468"
"Rue de Courcelles";"17";"34.92736665"
"Place de la Porte de Champerret";"17";"87.846047"
"Boulevard Arago";"13";"14.33665781"
"Boulevard Voltaire";"11";"13.36994907"
"Quai d'Austelitz";"13";"47.75688516"
"Boulevard Berthier";"17";"24.14150775"
"Boulevard Berthier";"17";"12.32048086"
"Boulevard Berthier";"17";"179.07833628"
"Boulevard Voltaire";"11";"16.1004796"
"Avenue de la Porte de Saint-Ouen";"17";"217.46733319"
"Boulevard Arago";"13";"9.39586508"
"RUE NATIONALE";"13";"33.5245388"
"Boulevard Bessières";"17";"7.5685669"
"Rue René Panard";"13";"47.67668179"
"Rue de Lyon";"12";"48.37679258"
"Place Auguste Baron";"19";"65.04603434"
"Rue du Général Niox";"16";"8.69711947"
"Quai Saint Exupéry";"16";"23.71781798"
"Avenue des Champs-Elysées";"8";"8.59073913"
"Avenue des Champs-Elysées";"8";"11.31350398"
"Avenue des Champs-Elysées";"8";"15.57068097"
"BOULEVARD AUGUSTE BLANQUI";"13";"5.78142079"
"RUE DU FOUR";"6";"10.56878907"
"BOULEVARD SOULT";"12";"10.12862353"
"Quai Branly";"15";"379.30106829"
"Rue Didot";"14";"7.95155784"
"Rue Didot";"14";"51.16900871"
"AVENUE DAUMESNIL";"12";"13.71428962"
"Rue Francis Garnier";"17";"129.05121796"
"Rue Jean Cocteau";"18";"33.55171454"
"Rond-pont du Pont Mirabeau";"15";"10.76114747"
"Rond-point du Pont Mirabeau";"15";"44.44998873"
"Place de la Concorde";"8";"443.26765103"
"Rue Petitot";"19";"49.97850877"
"Rue Lentonnet";"9";"44.08262231"
"Place des Insurgés de Varsovie";"15";"13.86900071"
"Place des Insurgés de Varsovie";"15";"30.15147895"
"Place des Insurgés de Varsovie";"15";"5.18092063"
"AVENUE CLAUDE REGAUD";"13";"103.83739396"
"Avenue des Champs-Elysées";"8";"97.45577474"
"Avenue des Champs-Elysées";"8";"19.87969698"
"Place Gambetta";"20";"17.33344893"
"Place Gambetta";"20";"11.31694088"
"Rue du Four";"6";"12.4855222"
"RUE SAINT JACQUES";"5";"52.88408651"
"Rue Van Gogh";"12";"9.00936514"
"Souterrain Van Gogh";"12";"318.07899019"
"Rue Linois";"15";"99.54047326"
"Rue Linois";"15";"30.2721616"
"Boulevard Suchet";"16";"11.76162334"
"Route de la Pyramide";"12";"470.05046469"
"Avenue de la Grande Armée";"17";"23.21559233"
"Rue Didot";"14";"4.9577382"
"Avenue de Clichy";"17";"28.63046505"
"Boulevard Bessières";"17";"18.83999192"
"Boulevard Bessières";"17";"4.04281898"
"Boulevard Bessières";"17";"64.93760736"
"PLACE DU  PARVIS NOTRE DAME  JEAN PAUL II";"4";"60.33650562"
"Place Auguste Baron";"19";"63.29416693"
"Rue de Rivoli";"4";"4.20586138"
"Rue de Rivoli";"4";"5.20551207"
"Rue de Rivoli";"4";"4.30454039"
"Rue Marcadet";"18";"26.19231882"
"BOULEVARD MALESHERBES";"8";"15.84186578"
"Rue de Rivoli";"4";"11.12264934"
"Quai Voltaire";"6";"328.53730616"
"BOULEVARD DAVOUT";"20";"11.26373133"
"Rue de la Porte d'Issy";"15";"286.92215566"
"BOULEVARD DIDEROT";"12";"70.4388413"
"Rue Fernand Widal";"13";"101.32779781"
"Quai de Montebello";"5";"74.75127547"
"AVENUE D ITALIE";"13";"24.6422474"
"AVENUE D ITALIE";"13";"14.34224524"
"AVENUE D ITALIE";"13";"22.13590477"
"RUE JEANNE D ARC";"13";"354.87886917"
"BOULEVARD VINCENT AURIOL";"13";"104.12843672"
"RUE NATIONALE";"13";"107.53431796"
"PLACE D ITALIE";"13";"17.29137281"
"QUAI DE LA GARE";"13";"11.10773643"
"RUE DE RIVOLI";"1";"11.57739336"
"BOULEVARD MALESHERBES";"8";"21.63984229"
"BOULEVARD MALESHERBES";"8";"43.79509904"
"BOULEVARD JOURDAN";"14";"21.86027607"
"BOULEVARD LEFEBVRE";"15";"17.08996326"
"BOULEVARD VICTOR";"15";"8.32888238"
"BOULEVARD VICTOR";"15";"65.7256996"
"BOULEVARD LEFEBVRE";"15";"22.73794902"
"BOULEVARD LEFEBVRE";"15";"132.97279968"
"BOULEVARD BRUNE";"14";"71.3340303"
"BOULEVARD EXELMANS";"16";"32.86039336"
"BOULEVARD BRUNE";"14";"10.55134684"
"BOULEVARD BRUNE";"14";"9.67105676"
"BOULEVARD KELLERMANN";"13";"7.88086146"
"AVENUE DU MARECHAL GALLIENI";"7";"92.02766803"
"RUE HENRY FARMAN";"15";"18.85237471"
"RUE HENRY FARMAN";"15";"41.18578986"
"RUE HENRY FARMAN";"15";"39.90983858"
"BOULEVARD JOURDAN";"13";"8.45492364"
"Rue Vercingétorix";"14";"8.94362581"
"PLACE DE CATALOGNE";"14";"5.48306294"
"BOULEVARD PASTEUR";"15";"155.85579519"
"PLACE DES CINQ MARTYRS DU LYCEE BUFFON";"14";"40.39902766"
"PLACE DES CINQ MARTYRS DU LYCEE BUFFON";"15";"18.54054729"
"ROUTE DE LA PORTE DES SABLONS A LA PORTE MAILLOT";"16";"15.69333321"
"";"12";"48.68628897"
"PLACE DE CATALOGNE";"14";"8.47782031"
"PLACE DE CATALOGNE";"14";"12.7367456"
"BOULEVARD DE L AMIRAL BRUIX";"16";"23.16258002"
"Avenue Louis Barthou";"16";"22.61738684"
"PONT DE L ALMA";"7";"72.47988962"
"AVENUE DE NEW YORK";"16";"322.19556233"
"AVENUE HENRI MARTIN";"16";"159.2935297"
"ROUTE DE SURESNES";"16";"377.34111065"
"AVENUE DE NEW YORK";"16";"14.69809176"
"CARREFOUR DE LONGCHAMP";"16";"26.3107305"
"BOULEVARD AUGUSTE BLANQUI";"13";"45.43470471"
"BOULEVARD AUGUSTE BLANQUI";"13";"46.81760189"
"BOULEVARD AUGUSTE BLANQUI";"13";"56.42837254"
"BOULEVARD AUGUSTE BLANQUI";"13";"9.07995566"
"RUE DE LA TOMBE ISSOIRE";"14";"21.38373318"
"AVENUE RENE COTY";"14";"20.7280547"
"RUE HALLE";"14";"17.78240985"
"PLACE ANDRE TARDIEU";"7";"11.06986688"
"RUE DU FOUR";"6";"74.71619903"
"RUE DU FOUR";"6";"32.4082788"
"RUE SAINT JACQUES";"5";"28.96409149"
"RUE DES ARTISTES";"14";"4.54085402"
"RUE DES ARTISTES";"14";"5.70236609"
"RUE BONAPARTE";"6";"28.54178531"
"BOULEVARD MORLAND";"4";"67.225146"
"BOULEVARD MORLAND";"4";"88.35843199"
"RUE MONGE";"5";"40.39636429"
"RUE MONGE";"5";"24.46425267"
"COURS ALBERT 1ER";"8";"24.81505174"
"PLACE DU 25 AOUT 1944";"14";"20.44607712"
"AVENUE DE LA PORTE D ORLEANS";"14";"6.41164049"
"QUAI DE LA RAPEE";"12";"21.43197376"
"PLACE DES TERNES";"8";"37.57427208"
"PLACE D ITALIE";"13";"19.22426609"
"QUAI DE VALMY";"10";"56.65286059"
"RUE PORTE D ISSY";"15";"21.13801578"
"RUE HENRY FARMAN";"15";"6.93131914"
"RUE DE RENNES";"6";"42.30935132"
"RUE DE RENNES";"6";"39.33352166"
"RUE AMELOT";"11";"41.5830672"
"RUE AMELOT";"11";"16.09398682"
"RUE JULIA BARTET";"14";"12.71147432"
"BOULEVARD DE LA CHAPELLE";"10";"281.72259426"
"BOULEVARD DE LA CHAPELLE";"10";"24.76500351"
"QUAI D IVRY";"13";"49.90069147"
"AVENUE CLAUDE REGAUD";"13";"7.0817878"
"BOULEVARD DE BONNE NOUVELLE";"2";"26.3557234"
"BOULEVARD POISSONNIERE";"2";"14.59662224"
"RUE LARREY";"5";"18.25077447"
"AVENUE DAUMESNIL";"12";"166.26642184"
"BOULEVARD DE COURCELLES";"17";"19.23285621"
"RUE DE LAGNY";"20";"77.59005633"
"RUE JULIA BARTET";"14";"156.14268173"
"RUE DE LOURMEL";"15";"77.13268074"
"AVENUE MARCEAU";"8";"10.17667455"
"BOULEVARD DE GRENELLE";"15";"202.98804921"
"RUE D AUBERVILLIERS";"18";"130.20637623"
"RUE D AUBERVILLIERS";"18";"112.1790878"
"RUE D AUBERVILLIERS";"18";"40.79590874"
"RUE D AUBERVILLIERS";"18";"126.13640158"
"RUE D AUBERVILLIERS";"18";"21.58811178"
"BOULEVARD DE COURCELLES";"17";"25.29882404"
"BOULEVARD DE LA VILLETTE";"10";"48.86178611"
"AVENUE JEAN JAURES";"19";"35.24643653"
"BOULEVARD DE LA VILLETTE";"10";"73.1839"
"BOULEVARD DE ROCHECHOUART";"18";"50.79548903"
"BOULEVARD DE ROCHECHOUART";"18";"23.42774276"
"AVENUE DAUMESNIL";"12";"79.05593957"
"RUE DES LYONNAIS";"5";"8.64823488"
"RUE EUGENE VARLIN";"10";"111.34576889"
"RUE EUGENE VARLIN";"10";"73.08698384"
"BOULEVARD DE MAGENTA";"10";"43.23446926"
"BOULEVARD DE MAGENTA";"10";"17.78523892"
"BOULEVARD DE MAGENTA";"10";"29.56568724"
"BOULEVARD DE MAGENTA";"10";"23.39865415"
"AVENUE DE FRANCE";"13";"10.2603923"
"RUE DE L ESPERANCE";"13";"27.93893324"
"RUE DE ROME";"17";"192.32703448"
"RUE CARDINET";"17";"8.20165833"
"BOULEVARD GARIBALDI";"15";"6.96276896"
"BOULEVARD GARIBALDI";"15";"7.67834327"
"BOULEVARD GARIBALDI";"15";"4.37225783"
"RUE DE LA VILLE NEUVE";"2";"45.51278731"
"PLACE DE LA REPUBLIQUE";"3";"116.04194987"
"BOULEVARD DE LA BASTILLE";"12";"44.79860539"
"BOULEVARD DE LA BASTILLE";"12";"8.26885297"
"BOULEVARD DE LA BASTILLE";"12";"24.19266957"
"QUAI DE LA RAPEE";"12";"74.60656712"
"QUAI DE LA RAPEE";"12";"1.84298968"
"BOULEVARD SOULT";"12";"109.39268198"
"BOULEVARD SOULT";"12";"9.21487971"
"BOULEVARD PONIATOWSKI";"12";"4.14165525"
"BOULEVARD DU GENERAL JEAN SIMON";"13";"16.17212328"
"RUE JEAN-PIERRE TIMBAUD";"11";"7.38016347"
"RUE DE LA BOULE ROUGE";"9";"94.00963152"
"PLACE DE LA REPUBLIQUE";"3";"22.40339046"
"RUE DE LA PRESENTATION";"11";"14.36151527"
"QUAI BRANLY";"7";"18.7804216"
"QUAI BRANLY";"7";"449.96386715"
"QUAI BRANLY";"7";"11.82489836"
"PLACE DE LA REPUBLIQUE";"3";"22.33377637"
"RUE DU RENDEZ-VOUS";"12";"256.06547933"
"RUE DU RENDEZ-VOUS";"12";"187.34185245"
"PORTE D AUBERVILLIERS";"19";"47.94240444"
"AVENUE DE LA PORTE DE MONTMARTRE";"18";"52.64329004"
"AVENUE DE LA BELLE GABRIELLE";"12";"56.94592537"
"AVENUE DE NOGENT";"12";"48.31483786"
"AVENUE DU TRONE";"11";"43.48819162"
"BOULEVARD DE LA CHAPELLE";"18";"24.81907723"
"BOULEVARD MACDONALD";"19";"105.33834203"
"RUE RENE BIDET";"18";"88.73099319"
"AVENUE DE GRAVELLE";"12";"25.79675478"
"RUE CURIAL";"19";"86.27808216"
"VOIE MAZAS";"4";"481.01910273"
"BOULEVARD SOULT";"12";"19.62632847"
"BOULEVARD SOULT";"12";"35.59926179"
"AVENUE DE GRAVELLE";"12";"8.46619995"
"AVENUE DE LA PORTE DES LILAS";"19";"13.92831679"
"AVENUE JEAN JAURES";"19";"76.27162068"
"RUE DES BATIGNOLLES";"17";"83.91653016"
"AVENUE DE LA PORTE DE VINCENNES";"20";"14.09598387"
"BOULEVARD D INDOCHINE";"19";"4.65770768"
"RUE BELGRAND";"20";"22.5448883"
"RUE BELGRAND";"20";"185.21902514"
"BOULEVARD CARNOT";"12";"39.10159786"
"AVENUE CORENTIN CARIOU";"19";"33.12719157"
"AVENUE IBSEN";"20";"67.10203494"
"RUE LEON FRAPIE";"20";"188.70459014"
"BOULEVARD DE LA VILLETTE";"19";"7.10094559"
"BOULEVARD DE BELLEVILLE";"20";"50.33508285"
"AVENUE CORENTIN CARIOU";"19";"15.07929398"
"PLACE DE WAGRAM";"17";"17.24928499"
"BOULEVARD MALESHERBES";"17";"179.45813393"
"BOULEVARD MALESHERBES";"17";"63.25436591"
"AVENUE DE VILLIERS";"17";"31.60843056"
"BOULEVARD MORTIER";"20";"8.04050772"
"PLACE DE LA PORTE DE BAGNOLET";"20";"6.80992597"
"PORTE DE VINCENNES";"20";"206.34003711"
"BOULEVARD DE LA VILLETTE";"19";"33.5531511"
"BOULEVARD MORTIER";"20";"6.51230102"
"Voie Georges Pompidou";"16";"2700.47021355"
"AVENUE DE LA PORTE DE VINCENNES";"20";"36.84946062"
"PORTE DE VINCENNES";"12";"63.30117656"
"AVENUE COURTELINE";"12";"39.6616744"
"BOULEVARD DE PICPUS";"12";"258.89087151"
"BOULEVARD DE PICPUS";"12";"63.01026295"
"BOULEVARD SOULT";"12";"9.13659714"
"BOULEVARD SOULT";"12";"22.19508933"
"BOULEVARD SOULT";"12";"8.50443116"
"AVENUE BENOIT FRACHON";"20";"226.69486885"
"AVENUE GAMBETTA";"20";"551.77714979"
"RUE VINCENT COMPOINT";"18";"26.43749492"
"RUE EMILE BLEMONT";"18";"10.23573967"
"BOULEVARD DE CHARONNE";"20";"168.40271726"
"BOULEVARD DE CHARONNE";"20";"14.14081945"
"BOULEVARD DE CHARONNE";"20";"39.9395599"
"BOULEVARD DE CHARONNE";"20";"19.42001576"
"AVENUE RENE FONCK";"19";"31.02501197"
"BOULEVARD PICPUS";"12";"560.41344371"
"RUE BOBILLOT";"13";"326.72233923"
"BOULEVARD DAVOUT";"20";"40.84778174"
"RUE DE LAGNY";"20";"12.80093245"
"AVENUE DAUMESNIL";"12";"45.84296882"
"AVENUE DAUMESNIL";"12";"72.91390254"
"AVENUE DAUMESNIL";"12";"17.52333585"
"PLACE FELIX EBOUE";"12";"11.80597242"
"PLACE FELIX EBOUE";"12";"14.11160144"
"BOULEVARD DIDEROT";"12";"159.4611524"
"BOULEVARD DIDEROT";"12";"3.81000335"
"AVENUE DES CANADIENS";"12";"11.29629019"
"RUE DE WATTIGNIES";"12";"16.21464099"
"AVENUE JEAN JAURES";"19";"6.87099275"
"BOULEVARD MALESHERBES";"17";"48.34704099"
"BOULEVARD MALESHERBES";"17";"61.17976674"
"BOULEVARD MACDONALD";"19";"20.16569791"
"PLACE DE WAGRAM";"17";"30.47811802"
"BOULEVARD DE BERCY";"12";"252.91489507"
"QUAI DE BERCY";"12";"697.32257794"
"AVENUE DE VILLIERS";"17";"103.85008475"
"AVENUE DE VILLIERS";"17";"54.72142901"
"ESPLANADE SAINT-LOUIS";"12";"91.79050664"
"AVENUE DAUMESNIL";"12";"8.3866365"
"BOULEVARD DAVOUT";"20";"12.35929293"
"BOULEVARD DAVOUT";"20";"13.67699769"
"RUE DE TANGER";"19";"102.45132851"
"RUE CARDINET";"17";"75.3602687"
"RUE CARDINET";"17";"10.18171679"
"RUE COLLETTE";"17";"129.80568806"
"BOULEVARD DIDEROT";"12";"99.03419931"
"BOULEVARD DIDEROT";"12";"8.71289261"
"BOULEVARD BARBES";"18";"105.86618629"
